,loss,dice_coef,jacard,recall,precision,accuracy,val_loss,val_dice_coef,val_jacard,val_recall,val_precision,val_accuracy
86,0.14837253093719482,0.8522136211395264,0.7487972378730774,0.99209064245224,0.9874641299247742,0.9933627247810364,0.25548407435417175,0.7451021075248718,0.601581335067749,0.8660858273506165,0.883489191532135,0.9276421666145325
87,0.1482824832201004,0.8523034453392029,0.7489925026893616,0.9924721717834473,0.9875175952911377,0.9935023188591003,0.2593035101890564,0.7412824034690857,0.596606433391571,0.8677232265472412,0.8639615774154663,0.9215831756591797
88,0.14797373116016388,0.8526118397712708,0.7494434118270874,0.992658793926239,0.9882019758224487,0.9937872886657715,0.25884655117988586,0.7417389154434204,0.5972432494163513,0.8777413964271545,0.8537085056304932,0.9204864501953125
89,0.14772455394268036,0.8528608083724976,0.749810516834259,0.9925453662872314,0.9889901876449585,0.9940101504325867,0.2570086717605591,0.7435764074325562,0.5989676117897034,0.872596025466919,0.8665034174919128,0.9236443638801575
90,0.1475507766008377,0.8530341386795044,0.7500305771827698,0.992451548576355,0.989304780960083,0.9940834045410156,0.2597847282886505,0.7407999038696289,0.5963551998138428,0.882919430732727,0.8419986963272095,0.9175434112548828
91,0.1473950743675232,0.8531896471977234,0.7502638101577759,0.9927108287811279,0.9893360733985901,0.9941766858100891,0.2587355375289917,0.7418487071990967,0.5980857014656067,0.889477550983429,0.8384279012680054,0.9177849888801575
92,0.14711865782737732,0.8534654378890991,0.7506663203239441,0.9941480159759521,0.9881943464279175,0.9942610859870911,0.25939562916755676,0.7411883473396301,0.5980305075645447,0.877756655216217,0.8568230271339417,0.9215800166130066
93,0.14712218940258026,0.8534615635871887,0.7506515979766846,0.9937238097190857,0.9885625243186951,0.9942466616630554,0.25273412466049194,0.7478494048118591,0.6055755615234375,0.8784935474395752,0.875508189201355,0.9281399846076965
94,0.14692041277885437,0.85366290807724,0.7509576082229614,0.9935509562492371,0.9896275997161865,0.9945414662361145,0.25255346298217773,0.7480294704437256,0.6072037220001221,0.9011744856834412,0.8427148461341858,0.9221331477165222
95,0.1467476189136505,0.8538351058959961,0.7512052655220032,0.9934213161468506,0.9901265501976013,0.9946637153625488,0.25080448389053345,0.7497782707214355,0.6089606285095215,0.9023714661598206,0.8480720520019531,0.9243895411491394
96,0.14665260910987854,0.8539297580718994,0.7513115406036377,0.9935254454612732,0.9900262951850891,0.994664192199707,0.2565406560897827,0.7440416216850281,0.6024580597877502,0.9034877419471741,0.8293822407722473,0.9176559448242188
97,0.1467326134443283,0.8538492918014526,0.7512111663818359,0.9940081238746643,0.9892492890357971,0.9945635795593262,0.2582074701786041,0.7423744201660156,0.5990477800369263,0.8712355494499207,0.8658554553985596,0.923089325428009
98,0.14673693478107452,0.8538445830345154,0.7512181401252747,0.9941200613975525,0.9891238808631897,0.9945581555366516,0.2586391568183899,0.7419421672821045,0.5979679226875305,0.8671563267707825,0.8737379312515259,0.9247188568115234
99,0.14686429500579834,0.8537167906761169,0.7510210275650024,0.9938205480575562,0.9888809323310852,0.994382381439209,0.24771009385585785,0.7528707981109619,0.6120132803916931,0.892619252204895,0.8617448806762695,0.926925003528595
100,0.14680884778499603,0.8537717461585999,0.751142680644989,0.9936310052871704,0.9895533919334412,0.9945427775382996,0.25405484437942505,0.7465256452560425,0.604844868183136,0.8916839361190796,0.8436527848243713,0.9202251434326172
101,0.14673355221748352,0.8538466095924377,0.7512680888175964,0.9937311410903931,0.9896865487098694,0.9946185946464539,0.26296350359916687,0.7376165390014648,0.5937483906745911,0.8614267110824585,0.8623968958854675,0.9195086359977722
102,0.14654125273227692,0.8540383577346802,0.7515323162078857,0.9939064383506775,0.9898940324783325,0.9947428703308105,0.2626151442527771,0.737964391708374,0.5941934585571289,0.8683401942253113,0.8529536128044128,0.9179522395133972
103,0.14626522362232208,0.8543140888214111,0.7519089579582214,0.9946282505989075,0.9895681142807007,0.9948670268058777,0.2566339075565338,0.7439451813697815,0.6022759675979614,0.8841294646263123,0.8517434000968933,0.9213333129882812
104,0.14630161225795746,0.8542770743370056,0.7518208026885986,0.9942835569381714,0.9896965622901917,0.9947988390922546,0.25432977080345154,0.7462488412857056,0.6051297187805176,0.8738540410995483,0.8686704039573669,0.9246883392333984
105,0.1462927758693695,0.8542856574058533,0.7518476247787476,0.9939555525779724,0.990113377571106,0.9948306083679199,0.25155794620513916,0.7490201592445374,0.6091000437736511,0.890739917755127,0.8555868864059448,0.9242954254150391
106,0.146565780043602,0.8540120124816895,0.7514429092407227,0.993492066860199,0.9898738861083984,0.9946034550666809,0.2548024356365204,0.7457751035690308,0.6050929427146912,0.8898525238037109,0.848852276802063,0.9216740727424622
107,0.14679402112960815,0.8537836074829102,0.7510914206504822,0.9932882785797119,0.9893673658370972,0.9943718910217285,0.2608568072319031,0.739720344543457,0.5967790484428406,0.8773009777069092,0.8498901724815369,0.9190337061882019
108,0.1468711942434311,0.8537057638168335,0.7509828209877014,0.9932101964950562,0.9894657731056213,0.9943792223930359,0.26044797897338867,0.7401286959648132,0.5974092483520508,0.888426661491394,0.8397654891014099,0.91802978515625
109,0.14712026715278625,0.8534560799598694,0.7506113648414612,0.9928738474845886,0.9890586137771606,0.9941377639770508,0.2574447989463806,0.7431313991546631,0.600914716720581,0.8989593982696533,0.8365331292152405,0.9193089604377747
110,0.14723564684391022,0.8533404469490051,0.7504334449768066,0.9930864572525024,0.9883195161819458,0.9939627647399902,0.2650021016597748,0.7355735898017883,0.5905709266662598,0.8630008101463318,0.8547582626342773,0.9172865748405457
111,0.14726358652114868,0.8533119559288025,0.7503752112388611,0.9932961463928223,0.9876430630683899,0.9938070178031921,0.265486478805542,0.7350887656211853,0.590330183506012,0.8626301884651184,0.8517756462097168,0.9161663055419922
112,0.1475328505039215,0.8530421853065491,0.7499700784683228,0.9928655028343201,0.987611711025238,0.9936590194702148,0.2669162452220917,0.7336586117744446,0.5889713764190674,0.8736512660980225,0.8302375674247742,0.9110615849494934
113,0.14742009341716766,0.8531544804573059,0.7501717209815979,0.9929268956184387,0.9880240559577942,0.9938144683837891,0.2636108100414276,0.7369634509086609,0.5940191149711609,0.8970603942871094,0.812178373336792,0.9094861149787903
