,loss,side_6_loss,side_7_loss,side_8_loss,activation_371_loss,add_95_loss,side_6_dice_coef,side_6_jaccard,side_6_recall_3,side_6_precision_3,side_6_accuracy,side_7_dice_coef,side_7_jaccard,side_7_recall_3,side_7_precision_3,side_7_accuracy,side_8_dice_coef,side_8_jaccard,side_8_recall_3,side_8_precision_3,side_8_accuracy,activation_371_dice_coef,activation_371_jaccard,activation_371_recall_3,activation_371_precision_3,activation_371_accuracy,add_95_dice_coef,add_95_jaccard,add_95_recall_3,add_95_precision_3,add_95_accuracy,val_loss,val_side_6_loss,val_side_7_loss,val_side_8_loss,val_activation_371_loss,val_add_95_loss,val_side_6_dice_coef,val_side_6_jaccard,val_side_6_recall_3,val_side_6_precision_3,val_side_6_accuracy,val_side_7_dice_coef,val_side_7_jaccard,val_side_7_recall_3,val_side_7_precision_3,val_side_7_accuracy,val_side_8_dice_coef,val_side_8_jaccard,val_side_8_recall_3,val_side_8_precision_3,val_side_8_accuracy,val_activation_371_dice_coef,val_activation_371_jaccard,val_activation_371_recall_3,val_activation_371_precision_3,val_activation_371_accuracy,val_add_95_dice_coef,val_add_95_jaccard,val_add_95_recall_3,val_add_95_precision_3,val_add_95_accuracy
46,0.18455110490322113,0.05311953276395798,0.03394828364253044,0.029676830396056175,0.02920585498213768,0.03860058635473251,0.946880578994751,0.9016561508178711,0.936866819858551,0.9598146677017212,0.9716774821281433,0.9660519361495972,0.9370793104171753,0.9528364539146423,0.9796805381774902,0.9804832935333252,0.9703231453895569,0.945133626461029,0.9560315608978271,0.9840903878211975,0.9823486804962158,0.9707943201065063,0.9460161924362183,0.9566599130630493,0.9845059514045715,0.9826121926307678,0.9613994359970093,0.9283483028411865,0.9565133452415466,0.984411358833313,0.9825586080551147,0.16080670058727264,0.050321467220783234,0.02964678220450878,0.024261126294732094,0.02323940582573414,0.03333791717886925,0.9496785998344421,0.904239296913147,0.9242446422576904,0.9763985276222229,0.9746569395065308,0.9703532457351685,0.9424558281898499,0.9497878551483154,0.9874457716941833,0.9834151268005371,0.9757388830184937,0.9526625275611877,0.9574660658836365,0.9896430373191833,0.9856916069984436,0.9767605066299438,0.9546168446540833,0.9609860181808472,0.989254891872406,0.986239492893219,0.9666621685028076,0.9355149865150452,0.9597479701042175,0.9894738793373108,0.9860963225364685
47,0.18368349969387054,0.052915286272764206,0.033799584954977036,0.029495494440197945,0.029042594134807587,0.038430534303188324,0.9470845460891724,0.9020267128944397,0.9371272921562195,0.9600468873977661,0.971793532371521,0.9662002921104431,0.9373582601547241,0.9528626203536987,0.9798707962036133,0.9805383086204529,0.9705045223236084,0.9454729557037354,0.9561781287193298,0.9842445850372314,0.9824196696281433,0.9709572196006775,0.9463208913803101,0.9567452073097229,0.9846863150596619,0.9826822280883789,0.9615691304206848,0.9286619424819946,0.9565906524658203,0.9846041202545166,0.9826249480247498,0.15935155749320984,0.05029754340648651,0.029231645166873932,0.023861626163125038,0.022914161905646324,0.03304658085107803,0.9497023820877075,0.9042834043502808,0.9233211278915405,0.9768484830856323,0.974575936794281,0.9707683324813843,0.9432401061058044,0.9510968327522278,0.9871910214424133,0.9835928082466125,0.9761383533477783,0.9534244537353516,0.9586948752403259,0.989490807056427,0.9858710765838623,0.9770859479904175,0.9552385210990906,0.9622271656990051,0.989074170589447,0.9864113330841064,0.966953456401825,0.9360612034797668,0.9608688354492188,0.9892457127571106,0.9862260222434998
48,0.18302816152572632,0.052750177681446075,0.033655036240816116,0.02938789315521717,0.028928637504577637,0.038306381553411484,0.9472496509552002,0.902320146560669,0.9370158910751343,0.9603621959686279,0.9718555212020874,0.966344952583313,0.9376169443130493,0.9528988599777222,0.9800174236297607,0.9805822372436523,0.9706119894981384,0.9456652402877808,0.9562811851501465,0.9843263626098633,0.9824594855308533,0.9710713624954224,0.9465255737304688,0.9568620324134827,0.9847719669342041,0.9827264547348022,0.9616937041282654,0.9288826584815979,0.9567266702651978,0.9846680164337158,0.9826656579971313,0.15630550682544708,0.0494774654507637,0.028744203969836235,0.023230860009789467,0.02239387296140194,0.032459113746881485,0.9505224823951721,0.9057707786560059,0.9258943796157837,0.9760444164276123,0.9749243855476379,0.971255898475647,0.9441611170768738,0.953095018863678,0.9864991307258606,0.9838206171989441,0.9767691493034363,0.9546293616294861,0.961820125579834,0.988481879234314,0.9861791729927063,0.9776061177253723,0.95623379945755,0.9651334881782532,0.988021731376648,0.9866594672203064,0.9675407409667969,0.9371631145477295,0.963858425617218,0.9882387518882751,0.9865108728408813
49,0.18311044573783875,0.05270859971642494,0.0337304063141346,0.02942902222275734,0.028932718560099602,0.038309745490550995,0.947291374206543,0.9023926258087158,0.9370191693305969,0.9602123498916626,0.9718157052993774,0.9662697315216064,0.9374824166297913,0.9529094099998474,0.9798286557197571,0.9805393815040588,0.9705707430839539,0.9455943703651428,0.9562495946884155,0.9841409921646118,0.982413649559021,0.9710671901702881,0.9465259909629822,0.9568442106246948,0.9846423268318176,0.9827021956443787,0.9616904258728027,0.9288824200630188,0.9567081928253174,0.98454749584198,0.9826442003250122,0.16221018135547638,0.05167107284069061,0.03015628084540367,0.02401195839047432,0.022981444373726845,0.033389415591955185,0.9483288526535034,0.9017971754074097,0.9178970456123352,0.9793804883956909,0.9740607738494873,0.9698438048362732,0.9414957165718079,0.9472901225090027,0.9882913827896118,0.9831637144088745,0.9759880304336548,0.9531381726264954,0.9576433897018433,0.9898058176040649,0.9857897162437439,0.9770186543464661,0.9551107287406921,0.9612820744514465,0.9893319606781006,0.9863484501838684,0.9666106700897217,0.9354194402694702,0.9598265886306763,0.9895691275596619,0.9861599206924438
50,0.18281348049640656,0.05261625349521637,0.033682405948638916,0.029396433383226395,0.028871355578303337,0.038247015327215195,0.9473833441734314,0.9025489687919617,0.9371200203895569,0.960318922996521,0.9718666076660156,0.9663177132606506,0.937549352645874,0.9529268145561218,0.979877233505249,0.9805449843406677,0.9706035852432251,0.9456336498260498,0.9561244249343872,0.9842551350593567,0.9824236631393433,0.9711288809776306,0.9466179013252258,0.9568674564361572,0.9847195148468018,0.9827170372009277,0.9617531299591064,0.9289777874946594,0.9567517042160034,0.984648585319519,0.9826696515083313,0.1547699123620987,0.04924057051539421,0.028386523947119713,0.022856229916214943,0.022117890417575836,0.0321686714887619,0.9507594108581543,0.9061989784240723,0.9261842370033264,0.9760152101516724,0.974976658821106,0.9716135859489441,0.9448363780975342,0.9545042514801025,0.9859374761581421,0.9839473962783813,0.9771437644958496,0.9553443193435669,0.9635854959487915,0.9879152178764343,0.9863499402999878,0.9778822064399719,0.9567612409591675,0.9667061567306519,0.9873936772346497,0.9867659211158752,0.9678311944007874,0.9377073645591736,0.9655451774597168,0.98764967918396,0.9866503477096558
51,0.18177513778209686,0.05239788442850113,0.033464785665273666,0.02917129546403885,0.028688492253422737,0.03805265203118324,0.9476020932197571,0.9029504656791687,0.9373997449874878,0.9604452252388,0.9719561338424683,0.9665351510047913,0.9379842281341553,0.953038215637207,0.9801629185676575,0.980647087097168,0.9708287715911865,0.9460768699645996,0.9565278887748718,0.9844145178794861,0.9825330972671509,0.9713115096092224,0.9469807744026184,0.9570688009262085,0.9848708510398865,0.9827967882156372,0.9619473218917847,0.9293544888496399,0.9569752216339111,0.984767496585846,0.9827455282211304,0.15783683955669403,0.050537314265966415,0.02893306314945221,0.023366352543234825,0.022362813353538513,0.03263730928301811,0.9494627118110657,0.9038477540016174,0.9210669994354248,0.9781061410903931,0.9744226336479187,0.9710668921470642,0.9438025951385498,0.9515886902809143,0.9869986176490784,0.983680009841919,0.9766335487365723,0.9543697834014893,0.9602027535438538,0.9890514016151428,0.9860749244689941,0.9776370525360107,0.9562931060791016,0.9642546772956848,0.9883169531822205,0.9866111278533936,0.967362642288208,0.9368283152580261,0.9627960920333862,0.9886045455932617,0.9864505529403687
52,0.18136878311634064,0.05225583538413048,0.03337923437356949,0.029128188267350197,0.028627680614590645,0.03797784447669983,0.9477441310882568,0.9032024145126343,0.9373474717140198,0.9606602787971497,0.9720035791397095,0.9666208624839783,0.9381357431411743,0.9532946944236755,0.9800617694854736,0.9806717038154602,0.9708718657493591,0.9461559057235718,0.956393301486969,0.984470784664154,0.9825383424758911,0.9713723659515381,0.9470906853675842,0.9571290016174316,0.9848530292510986,0.9828128218650818,0.9620221257209778,0.9294883608818054,0.957003116607666,0.9847767949104309,0.9827638864517212,0.15887443721294403,0.050731342285871506,0.029312338680028915,0.023576704785227776,0.022466637194156647,0.03278740495443344,0.9492685198783875,0.9034963250160217,0.9200432300567627,0.9787529110908508,0.9743648767471313,0.970687747001648,0.9430864453315735,0.9496059417724609,0.9878599047660828,0.9835281372070312,0.9764231443405151,0.9539685845375061,0.9587627053260803,0.989582896232605,0.9859579205513,0.9775333404541016,0.9560950398445129,0.9630813598632812,0.9888629913330078,0.9865544438362122,0.9672125577926636,0.9365471601486206,0.9616536498069763,0.9891963601112366,0.9864054918289185
53,0.1816110461950302,0.052263859659433365,0.03346296772360802,0.029207827523350716,0.02866164967417717,0.038014717400074005,0.9477359652519226,0.9031891226768494,0.9372143745422363,0.9607770442962646,0.9720078110694885,0.9665372371673584,0.9379697442054749,0.9530512690544128,0.9800955057144165,0.9806278944015503,0.9707923531532288,0.9459990859031677,0.9562674164772034,0.984455943107605,0.9824954867362976,0.9713383913040161,0.9470230937004089,0.9570419788360596,0.9848740696907043,0.9827931523323059,0.9619852304458618,0.9294167160987854,0.9568942785263062,0.9847879409790039,0.9827371835708618,0.1494222730398178,0.04723765328526497,0.0271622221916914,0.022138400003314018,0.021573375910520554,0.03131062537431717,0.9527624249458313,0.9098410606384277,0.9337561130523682,0.9729774594306946,0.9757930040359497,0.9728377461433411,0.9471543431282043,0.960286021232605,0.9839880466461182,0.9845381379127502,0.9778615236282349,0.9567168354988098,0.9677560925483704,0.9863582849502563,0.9866721630096436,0.9784266352653503,0.9578033685684204,0.9709214568138123,0.9855484366416931,0.98699551820755,0.9686894416809082,0.9393188953399658,0.9699855446815491,0.9858296513557434,0.9869457483291626
54,0.18057569861412048,0.05198752135038376,0.033294428139925,0.0289834663271904,0.02849021926522255,0.037820033729076385,0.9480123519897461,0.9036885499954224,0.9371914863586426,0.9612126350402832,0.9721214771270752,0.9667053818702698,0.9382976293563843,0.9532830715179443,0.9801360964775085,0.9806972146034241,0.9710166454315186,0.9464247822761536,0.9566614031791687,0.9845030307769775,0.9825943112373352,0.9715099930763245,0.9473488330841064,0.957274854183197,0.984941303730011,0.98287034034729,0.9621798396110535,0.9297806620597839,0.9571609497070312,0.984840989112854,0.9828128218650818,0.1561744511127472,0.05044042319059372,0.028372112661600113,0.0229013841599226,0.02210180275142193,0.032358720898628235,0.9495594501495361,0.9040255546569824,0.9206615090370178,0.9788759350776672,0.9745308756828308,0.9716278910636902,0.9448622465133667,0.95356684923172,0.9866189956665039,0.9839637279510498,0.9770986437797546,0.9552567005157471,0.9622148275375366,0.9885977506637573,0.9863114356994629,0.9778981804847717,0.9567907452583313,0.9656700491905212,0.987914502620697,0.9867357611656189,0.967641294002533,0.937349796295166,0.9643039703369141,0.9882566332817078,0.9866169691085815
55,0.1807500571012497,0.05207228288054466,0.033296599984169006,0.029049498960375786,0.028489939868450165,0.03784172981977463,0.9479277729988098,0.9035214185714722,0.9372926950454712,0.9608827829360962,0.9720532894134521,0.9667033553123474,0.9382781982421875,0.9531575441360474,0.980209231376648,0.9806854724884033,0.9709503650665283,0.9462904930114746,0.956390380859375,0.9844696521759033,0.982546329498291,0.9715101718902588,0.947338879108429,0.9571348428726196,0.9849722385406494,0.9828478097915649,0.9621580243110657,0.9297290444374084,0.95701003074646,0.9848952889442444,0.9827991724014282,0.15764501690864563,0.05082189291715622,0.028824346140027046,0.023209381848573685,0.022220276296138763,0.03256911784410477,0.9491779804229736,0.9033310413360596,0.9191505312919617,0.9792954325675964,0.9743125438690186,0.9711756706237793,0.9440061450004578,0.9510706067085266,0.9876031875610352,0.9837395548820496,0.9767906665802002,0.9546676874160767,0.9599653482437134,0.9893787503242493,0.9861311912536621,0.9777796864509583,0.9565637707710266,0.9636070728302002,0.9888455271720886,0.9866525530815125,0.9674309492111206,0.9369547963142395,0.9622580409049988,0.9891200065612793,0.9864988923072815
