,loss,side_6_loss,side_7_loss,side_8_loss,activation_371_loss,add_95_loss,side_6_dice_coef,side_6_jacard,side_6_recall_3,side_6_precision_3,side_6_accuracy,side_7_dice_coef,side_7_jacard,side_7_recall_3,side_7_precision_3,side_7_accuracy,side_8_dice_coef,side_8_jacard,side_8_recall_3,side_8_precision_3,side_8_accuracy,activation_371_dice_coef,activation_371_jacard,activation_371_recall_3,activation_371_precision_3,activation_371_accuracy,add_95_dice_coef,add_95_jacard,add_95_recall_3,add_95_precision_3,add_95_accuracy
64,0.013580801896750927,0.004176600370556116,0.0025361834559589624,0.002205423777922988,0.0021973978728055954,0.002465196419507265,0.4792736768722534,0.4147699177265167,0.9096924662590027,0.9120099544525146,0.9981706738471985,0.5202953815460205,0.47376206517219543,0.9465421438217163,0.9480344653129578,0.9989181756973267,0.5290522575378418,0.4873224198818207,0.9527983665466309,0.9558663368225098,0.9990636706352234,0.5291904211044312,0.4875725507736206,0.9536159038543701,0.9556117057800293,0.9990686178207397,0.5145597457885742,0.464832067489624,0.9511348605155945,0.9544854760169983,0.9990324974060059
65,0.01549381110817194,0.0045199040323495865,0.0029324134811758995,0.0026059297379106283,0.002601237501949072,0.002834311220794916,0.4726094901561737,0.4071614444255829,0.9033998250961304,0.9074059724807739,0.9980610013008118,0.5117120146751404,0.46290552616119385,0.939716637134552,0.9428225755691528,0.9987954497337341,0.5199013352394104,0.4754388928413391,0.9454295635223389,0.9505122900009155,0.9989334940910339,0.5202900171279907,0.47611770033836365,0.9460296034812927,0.9501516819000244,0.9989359974861145,0.506244421005249,0.4545002579689026,0.9437764883041382,0.9491851329803467,0.9989041090011597
66,0.013174496591091156,0.004092049784958363,0.0024491020012646914,0.0021270406432449818,0.002117360942065716,0.0023889413569122553,0.4783106744289398,0.4150102138519287,0.9108201861381531,0.9137933254241943,0.998202383518219,0.5191574692726135,0.47418972849845886,0.9484708905220032,0.949590265750885,0.9989540576934814,0.5279367566108704,0.4878414571285248,0.9542461633682251,0.9576913714408875,0.9990977644920349,0.5279350876808167,0.4879077076911926,0.9549757838249207,0.9575656652450562,0.9991031289100647,0.5134939551353455,0.46525073051452637,0.952731192111969,0.9564101099967957,0.9990682005882263
67,0.013157538138329983,0.00410417141392827,0.002446170197799802,0.0021174391731619835,0.002109207445755601,0.0023805375676602125,0.47309088706970215,0.4113154113292694,0.9105814099311829,0.9135138988494873,0.9981964230537415,0.5130290389060974,0.46954241394996643,0.9487853050231934,0.9496038556098938,0.9989563822746277,0.5213006734848022,0.48255378007888794,0.9547393918037415,0.9575833082199097,0.9991015791893005,0.5215160250663757,0.48292750120162964,0.9555044174194336,0.9574774503707886,0.9991071820259094,0.5073865056037903,0.4606097340583801,0.9532451629638672,0.9562116861343384,0.9990723133087158
68,0.014408809132874012,0.004318526480346918,0.0026998340617865324,0.0023851811420172453,0.00238072220236063,0.0026245517656207085,0.46966105699539185,0.40628594160079956,0.9068142771720886,0.9108641147613525,0.9981317520141602,0.5096035003662109,0.4635106027126312,0.9438469409942627,0.9458626508712769,0.9988679885864258,0.5176436305046082,0.47601282596588135,0.9494770765304565,0.9540672898292542,0.9990118741989136,0.5180304050445557,0.47664400935173035,0.9501045346260071,0.9538425803184509,0.9990155100822449,0.5038493871688843,0.4546271562576294,0.9478968381881714,0.9528130292892456,0.9989827871322632
69,0.01419314369559288,0.004294232930988073,0.0026553922798484564,0.0023317441809922457,0.0023235566914081573,0.0025882122572511435,0.4845983684062958,0.4193509817123413,0.9073386192321777,0.9111212491989136,0.9981400966644287,0.5246881246566772,0.476822167634964,0.944530189037323,0.9463613033294678,0.998881459236145,0.5336413383483887,0.4905240833759308,0.9503982067108154,0.9543063640594482,0.9990231990814209,0.5335505604743958,0.4904492497444153,0.9512048363685608,0.9542034864425659,0.9990307688713074,0.5192309021949768,0.4683217406272888,0.9486353993415833,0.9530078172683716,0.9989924430847168
70,0.012735477648675442,0.004013243597000837,0.00235929898917675,0.0020355761516839266,0.002026946982368827,0.0023004263639450073,0.4826347231864929,0.41950422525405884,0.9132661819458008,0.9147341847419739,0.9982351064682007,0.5242867469787598,0.48018893599510193,0.9505433440208435,0.9513575434684753,0.998993456363678,0.5328500270843506,0.4936579763889313,0.9566014409065247,0.9592239260673523,0.9991371035575867,0.5330463647842407,0.4940006136894226,0.9572151899337769,0.9591126441955566,0.9991418719291687,0.5183117985725403,0.4707520008087158,0.9550608992576599,0.9579167366027832,0.9991083145141602
71,0.012767148204147816,0.004030889365822077,0.002364569576457143,0.0020378800109028816,0.0020308257080614567,0.0023029688745737076,0.48548808693885803,0.42215248942375183,0.9125474691390991,0.9149125814437866,0.9982307553291321,0.5274160504341125,0.4833407402038574,0.9503797292709351,0.9513185024261475,0.9989911317825317,0.5357832312583923,0.49663329124450684,0.9564557671546936,0.9591324925422668,0.9991340637207031,0.536074161529541,0.4971310794353485,0.9572118520736694,0.958905816078186,0.999139666557312,0.5213770866394043,0.47380268573760986,0.955007016658783,0.957815408706665,0.9991064071655273
72,0.012913218699395657,0.00405312841758132,0.002393658272922039,0.002071092603728175,0.0020633877720683813,0.00233194581232965,0.4723958671092987,0.4101581275463104,0.9123483896255493,0.9142370820045471,0.9982215166091919,0.5131893754005432,0.4693746268749237,0.9496922492980957,0.9507594704627991,0.9989782571792603,0.5215588808059692,0.4825303852558136,0.9558226466178894,0.9585466384887695,0.9991218447685242,0.5217995643615723,0.482932984828949,0.9565801620483398,0.9583002328872681,0.9991273880004883,0.5073699951171875,0.4602244794368744,0.954352080821991,0.9571940302848816,0.9990924000740051
73,0.01324202585965395,0.004116382449865341,0.002453946741297841,0.002140816766768694,0.002133842557668686,0.0023970359470695257,0.47629621624946594,0.41373756527900696,0.9109928011894226,0.9136401414871216,0.9982019066810608,0.5170387625694275,0.4729991555213928,0.9490330815315247,0.949707567691803,0.9989603757858276,0.5252683758735657,0.4858008921146393,0.9549781680107117,0.9570212960243225,0.9990981817245483,0.5254859328269958,0.48618844151496887,0.9557720422744751,0.9568389058113098,0.9991028904914856,0.5111463069915771,0.4636663496494293,0.9535335898399353,0.9559686779975891,0.9990716576576233
