,loss,side_6_loss,side_7_loss,side_8_loss,activation_92_loss,add_23_loss,side_6_dice_coef,side_6_jacard,side_6_recall,side_6_precision,side_6_accuracy,side_7_dice_coef,side_7_jacard,side_7_recall,side_7_precision,side_7_accuracy,side_8_dice_coef,side_8_jacard,side_8_recall,side_8_precision,side_8_accuracy,activation_92_dice_coef,activation_92_jacard,activation_92_recall,activation_92_precision,activation_92_accuracy,add_23_dice_coef,add_23_jacard,add_23_recall,add_23_precision,add_23_accuracy
62,0.01461133174598217,0.004374118521809578,0.0027515145484358072,0.002426621736958623,0.002398083917796612,0.0026609955821186304,0.47939079999923706,0.4147947132587433,0.9103751182556152,0.911230206489563,0.9980902671813965,0.5184959173202515,0.4710288345813751,0.9453405141830444,0.9461657404899597,0.9988385438919067,0.5267666578292847,0.4836597442626953,0.9516710042953491,0.9530383348464966,0.9989801049232483,0.5275858044624329,0.4850308895111084,0.9523496031761169,0.9535197019577026,0.9989925026893616,0.5131769776344299,0.4626951813697815,0.9499565958976746,0.9522392153739929,0.9989535212516785
63,0.014225383289158344,0.004301396664232016,0.002667783061042428,0.002347777131944895,0.0023210293147712946,0.0025874096900224686,0.48024603724479675,0.41616642475128174,0.9114997982978821,0.9127572178840637,0.9981186985969543,0.5204586982727051,0.47349146008491516,0.9463699460029602,0.948115348815918,0.9988713264465332,0.5289695858955383,0.48644793033599854,0.9528604745864868,0.9547926187515259,0.9990124702453613,0.5298376679420471,0.4878251552581787,0.9535463452339172,0.9552147388458252,0.9990232586860657,0.515028715133667,0.46501094102859497,0.951086699962616,0.9540092945098877,0.9989854693412781
64,0.013680784963071346,0.00420707231387496,0.002554855542257428,0.002232792554423213,0.0022058100439608097,0.002480247290804982,0.4811086058616638,0.41791245341300964,0.9133665561676025,0.913612961769104,0.99814772605896,0.5224487781524658,0.4769804775714874,0.9490757584571838,0.9497870802879333,0.9989178776741028,0.5306716561317444,0.4896494150161743,0.9549951553344727,0.9568098783493042,0.9990568161010742,0.5317065715789795,0.491289883852005,0.9557390213012695,0.9571869373321533,0.999068021774292,0.5166531801223755,0.46793726086616516,0.9535101056098938,0.9559641480445862,0.9990316033363342
65,0.01391538418829441,0.004250027239322662,0.00260158977471292,0.0022805421613156796,0.002257406944409013,0.0025258194655179977,0.481341153383255,0.41787511110305786,0.9125646352767944,0.9136365056037903,0.9981396198272705,0.5210482478141785,0.47533607482910156,0.9479407072067261,0.9492367506027222,0.9988989233970642,0.5292395949363708,0.4880847930908203,0.9542086720466614,0.955923318862915,0.9990386366844177,0.530102550983429,0.48945629596710205,0.9548817873001099,0.9562329649925232,0.9990487098693848,0.5155296921730042,0.4666954278945923,0.9525912404060364,0.9551544785499573,0.9990131855010986
66,0.013634799979627132,0.004199969116598368,0.0025424279738217592,0.002224680269137025,0.002198150148615241,0.0024695785250514746,0.47633758187294006,0.4142957329750061,0.9132785797119141,0.9146165251731873,0.9981576204299927,0.5160748958587646,0.47177794575691223,0.9493659138679504,0.9499756693840027,0.9989229440689087,0.5239866375923157,0.4840520918369293,0.955331027507782,0.956917405128479,0.9990603923797607,0.5249609351158142,0.4855809211730957,0.9560549855232239,0.9573634266853333,0.9990736246109009,0.510456919670105,0.462942510843277,0.953773021697998,0.956275999546051,0.9990382790565491
67,0.013292360119521618,0.004140628967434168,0.0024743906687945127,0.0021508196368813515,0.002123872982338071,0.0024026588071137667,0.48364248871803284,0.4211565852165222,0.9142219424247742,0.9154320359230042,0.9981768131256104,0.523862361907959,0.4796377122402191,0.9503355622291565,0.951330840587616,0.9989470839500427,0.5319023132324219,0.49223634600639343,0.9565423130989075,0.9581937193870544,0.9990880489349365,0.5329164862632751,0.49384942650794983,0.9571234583854675,0.9587475657463074,0.9991003274917603,0.5181852579116821,0.47070738673210144,0.9547829627990723,0.957464873790741,0.9990617036819458
68,0.013138653710484505,0.0041109174489974976,0.002438315888866782,0.0021212955471128225,0.0020953682251274586,0.0023727586958557367,0.4787295460700989,0.416873574256897,0.9148262143135071,0.9155828356742859,0.998185396194458,0.5187738537788391,0.4751533269882202,0.9512253999710083,0.95199054479599,0.9989637732505798,0.5267959833145142,0.4877098500728607,0.9572848081588745,0.9584722518920898,0.999098002910614,0.5278304219245911,0.4893263876438141,0.9580527544021606,0.9589747786521912,0.9991125464439392,0.5131180286407471,0.46622470021247864,0.9557249546051025,0.9579600691795349,0.9990765452384949
69,0.013088857755064964,0.004095940385013819,0.00242753978818655,0.0021142137702554464,0.0020881316158920527,0.0023630240466445684,0.48308104276657104,0.42041635513305664,0.9151594042778015,0.9165204763412476,0.9981982707977295,0.5238015055656433,0.47989970445632935,0.9515767097473145,0.9521957039833069,0.9989693760871887,0.5316842198371887,0.49228721857070923,0.9571488499641418,0.9590460658073425,0.9991041421890259,0.5325033068656921,0.4936365783214569,0.9577204585075378,0.9594606161117554,0.9991140365600586,0.5178423523902893,0.4704950153827667,0.9557635188102722,0.9583383798599243,0.9990820288658142
70,0.013471226207911968,0.00416974863037467,0.0024989827070385218,0.002194365719333291,0.002170972293242812,0.002437155693769455,0.48082607984542847,0.4187456965446472,0.9142346382141113,0.9148903489112854,0.9981697797775269,0.5202130675315857,0.4763736128807068,0.9497833847999573,0.9512395858764648,0.9989413619041443,0.527764618396759,0.48831069469451904,0.9558963179588318,0.9578415751457214,0.9990765452384949,0.5285302996635437,0.48957207798957825,0.9563927054405212,0.9581965804100037,0.9990852475166321,0.514387845993042,0.46724191308021545,0.9542005062103271,0.9571174383163452,0.9990512728691101
71,0.01258020754903555,0.004004011861979961,0.0023202167358249426,0.0020074511412531137,0.0019836167339235544,0.0022648971062153578,0.4832278788089752,0.4217652678489685,0.9164391160011292,0.917622983455658,0.9982237219810486,0.5250649452209473,0.48241469264030457,0.9537888765335083,0.9541357755661011,0.9990140199661255,0.5330754518508911,0.4949203431606293,0.9592594504356384,0.9610578417778015,0.9991479516029358,0.5340191125869751,0.496455579996109,0.9599598050117493,0.9614551663398743,0.9991595149040222,0.5189727544784546,0.4727972149848938,0.9578863382339478,0.9603717923164368,0.9991259574890137
