,loss,side_6_loss,side_7_loss,side_8_loss,activation_324_loss,add_134_loss,side_6_dice_coef,side_6_jacard,side_6_recall_4,side_6_precision_4,side_6_accuracy,side_7_dice_coef,side_7_jacard,side_7_recall_4,side_7_precision_4,side_7_accuracy,side_8_dice_coef,side_8_jacard,side_8_recall_4,side_8_precision_4,side_8_accuracy,activation_324_dice_coef,activation_324_jacard,activation_324_recall_4,activation_324_precision_4,activation_324_accuracy,add_134_dice_coef,add_134_jacard,add_134_recall_4,add_134_precision_4,add_134_accuracy,val_loss,val_side_6_loss,val_side_7_loss,val_side_8_loss,val_activation_324_loss,val_add_134_loss,val_side_6_dice_coef,val_side_6_jacard,val_side_6_recall_4,val_side_6_precision_4,val_side_6_accuracy,val_side_7_dice_coef,val_side_7_jacard,val_side_7_recall_4,val_side_7_precision_4,val_side_7_accuracy,val_side_8_dice_coef,val_side_8_jacard,val_side_8_recall_4,val_side_8_precision_4,val_side_8_accuracy,val_activation_324_dice_coef,val_activation_324_jacard,val_activation_324_recall_4,val_activation_324_precision_4,val_activation_324_accuracy,val_add_134_dice_coef,val_add_134_jacard,val_add_134_recall_4,val_add_134_precision_4,val_add_134_accuracy
62,0.5758119821548462,0.035598274320364,0.01362199243158102,0.010378064587712288,0.4359424114227295,0.07964178919792175,0.9644017815589905,0.9315256476402283,0.957109808921814,0.9728158116340637,0.9796996712684631,0.9863780736923218,0.9734017848968506,0.9770556688308716,0.99474036693573,0.9899258017539978,0.989622175693512,0.9797369241714478,0.9781745076179504,0.9979099631309509,0.9912726879119873,0.5640576481819153,0.39434412121772766,0.9933322668075562,0.971939742565155,0.9851837158203125,0.9203580617904663,0.8529356122016907,0.978554368019104,0.9954227209091187,0.9903705716133118,0.641944408416748,0.04735477641224861,0.029088446870446205,0.0264473594725132,0.4447406232357025,0.09368360042572021,0.9526452422142029,0.909670352935791,0.9415098428726196,0.9656134247779846,0.9754871129989624,0.9709115028381348,0.9435322880744934,0.9570744633674622,0.9832525253295898,0.9835564494132996,0.9735527038574219,0.9485312104225159,0.9586995244026184,0.9857543110847473,0.9847412109375,0.5552594065666199,0.3856751024723053,0.9869377613067627,0.9637383818626404,0.9831048846244812,0.9063163995742798,0.8290296196937561,0.9584790468215942,0.9837356805801392,0.9839876890182495
63,0.5756065249443054,0.03557687997817993,0.013638274744153023,0.010352560319006443,0.4358132779598236,0.07959585636854172,0.9644231796264648,0.9315643310546875,0.9575034379959106,0.9724843502044678,0.9796944260597229,0.9863618612289429,0.9733728170394897,0.9774706959724426,0.9942818880081177,0.9898989200592041,0.9896474480628967,0.9797897934913635,0.97850501537323,0.9975744485855103,0.9912599325180054,0.564186692237854,0.39447009563446045,0.9934828281402588,0.9721032381057739,0.985262930393219,0.9204043745994568,0.8530123233795166,0.9790488481521606,0.995008111000061,0.9903512001037598,0.6479660272598267,0.04892852157354355,0.031311433762311935,0.028280820697546005,0.44436731934547424,0.09444796293973923,0.9510715007781982,0.9068466424942017,0.9651042222976685,0.9442590475082397,0.9744920134544373,0.9686884880065918,0.9393843412399292,0.9804806709289551,0.9637623429298401,0.9825254082679749,0.9717192649841309,0.9450920820236206,0.9825899004936218,0.967727541923523,0.9839190244674683,0.5556325912475586,0.3860202133655548,0.9948935508728027,0.9366323351860046,0.9770420789718628,0.905552089214325,0.8277861475944519,0.9817819595336914,0.9641428589820862,0.9828091859817505
64,0.5748636722564697,0.03546985238790512,0.013468930497765541,0.010174590162932873,0.4356817603111267,0.07943844050168991,0.9645302295684814,0.9317556023597717,0.9574341177940369,0.9728233218193054,0.9797730445861816,0.9865308403968811,0.9736871719360352,0.977388322353363,0.9947865605354309,0.9900116324424744,0.989825427532196,0.9801214337348938,0.978473424911499,0.997978925704956,0.9913685917854309,0.5643181204795837,0.39459988474845886,0.993539035320282,0.9729222655296326,0.9854876399040222,0.9205616116523743,0.853280782699585,0.9788917303085327,0.9954632520675659,0.9904517531394958,0.6393976211547852,0.04692957177758217,0.028668738901615143,0.02590937353670597,0.4441702365875244,0.09308931976556778,0.9530705213546753,0.9104431867599487,0.945093035697937,0.9630976319313049,0.9755539894104004,0.9713312983512878,0.9443250298500061,0.961058497428894,0.9811570048332214,0.9837530255317688,0.9740907549858093,0.9495528340339661,0.9626357555389404,0.9837939143180847,0.9849541187286377,0.5558298230171204,0.3862181603908539,0.9882375001907349,0.9609897136688232,0.9825915098190308,0.9069108366966248,0.8300186395645142,0.9623181223869324,0.9815453290939331,0.9841272234916687
65,0.5745133757591248,0.035406921058893204,0.013434085994958878,0.010137604549527168,0.43554598093032837,0.0793580636382103,0.9645929336547852,0.9318700432777405,0.9579097628593445,0.9725161194801331,0.9797928333282471,0.9865659475326538,0.9737551212310791,0.977817177772522,0.9944177865982056,0.9900094866752625,0.9898625016212463,0.980197548866272,0.9787858128547668,0.997700572013855,0.9913589358329773,0.5644540190696716,0.3947337865829468,0.99373459815979,0.9730221033096313,0.9855539798736572,0.9206421375274658,0.8534175157546997,0.9793426990509033,0.9951211214065552,0.99045729637146,0.6491562724113464,0.04914116859436035,0.031639259308576584,0.028566906228661537,0.4444774389266968,0.09470061957836151,0.9508588910102844,0.906460702419281,0.9644628167152405,0.9439319968223572,0.9742871522903442,0.9683607816696167,0.9387739300727844,0.9799009561538696,0.9634787440299988,0.982367753982544,0.9714331030845642,0.9445536732673645,0.9820147752761841,0.9675225615501404,0.9837816953659058,0.5555225610733032,0.38591352105140686,0.9945465922355652,0.936725914478302,0.9770238995552063,0.9052994847297668,0.8273656964302063,0.9811544418334961,0.963863730430603,0.9826449155807495
66,0.5738174319267273,0.03533070161938667,0.013267993927001953,0.009950031526386738,0.43542516231536865,0.07921236753463745,0.9646692276000977,0.9320088028907776,0.9575491547584534,0.9729549288749695,0.9798440933227539,0.9867320656776428,0.9740684628486633,0.9776706099510193,0.9948655366897583,0.9901148080825806,0.9900500178337097,0.9805512428283691,0.9786860346794128,0.9980971813201904,0.9914740920066833,0.5645747780799866,0.39485278725624084,0.9937509298324585,0.9736624360084534,0.9857354164123535,0.9207876324653625,0.8536672592163086,0.979213535785675,0.9955535531044006,0.9905595779418945,0.6453672051429749,0.0478830561041832,0.029854709282517433,0.027706248685717583,0.4448564648628235,0.09443537890911102,0.9521170258522034,0.9086991548538208,0.9380778074264526,0.9675078392028809,0.9752582311630249,0.9701454639434814,0.9420797228813171,0.9527835845947266,0.9852051138877869,0.9832240343093872,0.9722936749458313,0.9461461901664734,0.953599214553833,0.9870792627334595,0.9841243028640747,0.5551436543464661,0.385559618473053,0.984108567237854,0.9677757620811462,0.9837294220924377,0.905564546585083,0.8277615904808044,0.9541450142860413,0.9856009483337402,0.9836320281028748
67,0.5738476514816284,0.03529763221740723,0.013320593163371086,0.01007828488945961,0.4353121519088745,0.07920729368925095,0.9647022485733032,0.932067334651947,0.9581847190856934,0.9725553393363953,0.9798687100410461,0.9866791367530823,0.9739689230918884,0.9780261516571045,0.9944211840629578,0.990085780620575,0.9899217486381531,0.9803091287612915,0.9791014194488525,0.9975504875183105,0.9914000630378723,0.5646877884864807,0.3949640095233917,0.9940270185470581,0.973406970500946,0.9857352375984192,0.9207926988601685,0.853675901889801,0.9795981049537659,0.9950688481330872,0.9905230402946472,0.6772335171699524,0.055795103311538696,0.039019085466861725,0.03556700423359871,0.4457739293575287,0.10044652223587036,0.9442048668861389,0.8946191072463989,0.9737491011619568,0.9255689978599548,0.9709948301315308,0.9609808325767517,0.9251667857170105,0.9865785241127014,0.9467209577560425,0.9789007306098938,0.964432954788208,0.9315676093101501,0.9878366589546204,0.9521515965461731,0.98053377866745,0.5542260408401489,0.384684294462204,0.9960067272186279,0.9177020192146301,0.971991777420044,0.8995534181594849,0.8179774284362793,0.9874465465545654,0.9469626545906067,0.9790751338005066
68,0.5750767588615417,0.03546873480081558,0.013634702190756798,0.010553359985351562,0.4353139102458954,0.0794738382101059,0.9645313024520874,0.9317520260810852,0.9574464559555054,0.9729118943214417,0.9797983169555664,0.9863654971122742,0.9733554720878601,0.9771057367324829,0.994658350944519,0.9899407029151917,0.9894466996192932,0.9793861508369446,0.9780994057655334,0.9976823329925537,0.9911916255950928,0.5646860599517822,0.3949556052684784,0.9934142827987671,0.9733052253723145,0.9855993390083313,0.9205260276794434,0.8532188534736633,0.9786573648452759,0.9953057169914246,0.9903804659843445,0.6803984642028809,0.05432739853858948,0.03771418705582619,0.037001848220825195,0.44860512018203735,0.10211750119924545,0.9456726312637329,0.8970916271209717,0.9157739877700806,0.9759592413902283,0.9727347493171692,0.9622858762741089,0.9274343848228455,0.9294991493225098,0.9903326034545898,0.9798725843429565,0.9629981517791748,0.9287914037704468,0.929550051689148,0.9903721809387207,0.9801708459854126,0.5513948798179626,0.3819960057735443,0.9714580178260803,0.974989116191864,0.9836018681526184,0.897882342338562,0.8151014447212219,0.930711030960083,0.9905904531478882,0.9802373051643372
69,0.5741552114486694,0.035352058708667755,0.013485653325915337,0.010294219478964806,0.4351188838481903,0.07927178591489792,0.9646479487419128,0.9319642782211304,0.9581524729728699,0.9725673198699951,0.9798660278320312,0.9865144491195679,0.9736424088478088,0.9778545498847961,0.9943729043006897,0.9900331497192383,0.9897057414054871,0.9798783659934998,0.9789864420890808,0.9974189400672913,0.9913185238838196,0.5648811459541321,0.3951553404331207,0.9939962029457092,0.9734030961990356,0.9857595562934875,0.9207282066345215,0.8535672426223755,0.9793891310691833,0.9950248599052429,0.9904754161834717,0.6434121131896973,0.04828925430774689,0.030010899528861046,0.027016574516892433,0.4440287947654724,0.09343372285366058,0.9517107605934143,0.9080000519752502,0.9643456339836121,0.9458640217781067,0.974755048751831,0.9699890613555908,0.9418239593505859,0.9782249927520752,0.9675158858299255,0.983119785785675,0.9729833006858826,0.9474812746047974,0.9800027012825012,0.9714533090591431,0.9844800233840942,0.5559712052345276,0.3863416910171509,0.993532121181488,0.9436401724815369,0.9787379503250122,0.9065661430358887,0.829481303691864,0.9794784784317017,0.9679349660873413,0.9834060668945312
70,0.5730139017105103,0.03523924946784973,0.013204075396060944,0.009919743053615093,0.43498146533966064,0.07903650403022766,0.9647607207298279,0.9321761727333069,0.9579402208328247,0.9728573560714722,0.9799038171768188,0.9867960214614868,0.9741884469985962,0.9778987765312195,0.9948256611824036,0.9901604652404785,0.9900804758071899,0.9806085824966431,0.9788452982902527,0.9979475736618042,0.9914777874946594,0.5650185346603394,0.39528748393058777,0.9939141869544983,0.9747627377510071,0.9860808849334717,0.92096346616745,0.8539710640907288,0.9794203042984009,0.9954895377159119,0.9906036853790283,0.6531037092208862,0.05000493675470352,0.03126684948801994,0.030158184468746185,0.44517117738723755,0.09586925804615021,0.9499949216842651,0.9049769639968872,0.9385356903076172,0.9631860852241516,0.9743132591247559,0.9687331318855286,0.9395360350608826,0.955538809299469,0.9806528091430664,0.982610821723938,0.9698418378829956,0.9417734742164612,0.9565702676773071,0.9805105328559875,0.9830620288848877,0.5548288226127625,0.3852749764919281,0.984344482421875,0.9574437141418457,0.981139063835144,0.9041308164596558,0.8254925608634949,0.9566905498504639,0.9806740880012512,0.982875645160675
71,0.5728017091751099,0.03522033244371414,0.013185101561248302,0.009914259426295757,0.4348669648170471,0.0789816752076149,0.964779794216156,0.9322110414505005,0.958119809627533,0.9727060794830322,0.9798981547355652,0.9868147373199463,0.9742288589477539,0.978135347366333,0.9945780634880066,0.9901451468467712,0.990085780620575,0.9806229472160339,0.979243278503418,0.997663676738739,0.9914630651473999,0.5651330947875977,0.3953990042209625,0.9941137433052063,0.9746584296226501,0.9860875606536865,0.921018123626709,0.8540627956390381,0.979665219783783,0.9952437281608582,0.9905781149864197,0.6369321346282959,0.04657193273305893,0.028340447694063187,0.025427207350730896,0.44377055764198303,0.09218830615282059,0.9534280896186829,0.9110904932022095,0.9582138657569885,0.9537918567657471,0.9756742119789124,0.9716595411300659,0.9449434876441956,0.9735718369483948,0.9733947515487671,0.9838743805885315,0.9745726585388184,0.9504645466804504,0.9753865599632263,0.9769048094749451,0.985171377658844,0.5562294125556946,0.3865872323513031,0.9918947219848633,0.9524367451667786,0.9808367490768433,0.9078116416931152,0.8315280079841614,0.9747852087020874,0.9738258123397827,0.9841817021369934
