,loss,side_6_loss,side_7_loss,side_8_loss,activation_584_loss,average_4_loss,side_6_dice_coef,side_6_jacard,side_6_recall_4,side_6_precision_4,side_6_accuracy,side_7_dice_coef,side_7_jacard,side_7_recall_4,side_7_precision_4,side_7_accuracy,side_8_dice_coef,side_8_jacard,side_8_recall_4,side_8_precision_4,side_8_accuracy,activation_584_dice_coef,activation_584_jacard,activation_584_recall_4,activation_584_precision_4,activation_584_accuracy,average_4_dice_coef,average_4_jacard,average_4_recall_4,average_4_precision_4,average_4_accuracy
138,1.0870369672775269,0.060110509395599365,0.058164410293102264,0.056606732308864594,0.3887144923210144,0.523440957069397,0.9368737936019897,0.8825945854187012,0.9640946984291077,0.9627481698989868,0.9754799008369446,0.9413831830024719,0.8903499841690063,0.9652047753334045,0.9661588668823242,0.9770227074623108,0.9419220089912415,0.8914033770561218,0.9667165279388428,0.9672986268997192,0.9779061675071716,0.5842660665512085,0.4248232841491699,0.9580806493759155,0.9477767944335938,0.9682785272598267,0.34698519110679626,0.21002602577209473,0.0,0.0,0.6650680303573608
139,1.0636346340179443,0.05828915908932686,0.05480019003152847,0.052445344626903534,0.3778781294822693,0.5202218890190125,0.9402345418930054,0.8882445096969604,0.9673934578895569,0.9617319107055664,0.9761863946914673,0.9446985125541687,0.8961505889892578,0.9688023328781128,0.965336799621582,0.977899432182312,0.9466850161552429,0.8995237350463867,0.9694693684577942,0.9668236374855042,0.9786320924758911,0.5990761518478394,0.43695998191833496,0.9637367129325867,0.9508233666419983,0.9711597561836243,0.34981170296669006,0.21205413341522217,0.0,0.0,0.6650680303573608
140,1.0748627185821533,0.05938087776303291,0.05638551712036133,0.056231509894132614,0.38142508268356323,0.5214396715164185,0.9397248029708862,0.8873292207717896,0.9656440615653992,0.9612890481948853,0.9754688143730164,0.9450016021728516,0.8967360258102417,0.967336118221283,0.9654309153556824,0.9774587154388428,0.9450270533561707,0.8967400789260864,0.9678615927696228,0.9642539024353027,0.977218508720398,0.5948004722595215,0.4335840344429016,0.959115207195282,0.9463740587234497,0.9681035280227661,0.34917041659355164,0.2116013467311859,0.0,0.0,0.6650680303573608
141,1.0757014751434326,0.05776261165738106,0.05563156679272652,0.054095715284347534,0.3860768675804138,0.5221346616744995,0.9410964250564575,0.8894867897033691,0.9652643799781799,0.9634979963302612,0.9761178493499756,0.9449922442436218,0.8965644836425781,0.9661106467247009,0.9667191505432129,0.9775095582008362,0.9451525807380676,0.8968666195869446,0.9672583341598511,0.967335045337677,0.9780941009521484,0.5883325338363647,0.4276764392852783,0.9582473635673523,0.9492839574813843,0.9688689112663269,0.34839120507240295,0.21102409064769745,0.0,0.0,0.6650680303573608
142,1.0759847164154053,0.05647294968366623,0.055413782596588135,0.053660798817873,0.3883049786090851,0.522132158279419,0.9407130479812622,0.8888993263244629,0.9686569571495056,0.9624122381210327,0.9768311977386475,0.9445360898971558,0.8958758115768433,0.9667256474494934,0.9664934277534485,0.9776302576065063,0.9456195831298828,0.8975908160209656,0.9670532941818237,0.9682888388633728,0.9783575534820557,0.5872464179992676,0.4256412982940674,0.956245481967926,0.950044572353363,0.9685043096542358,0.34864872694015503,0.21119201183319092,0.0,0.0,0.6650680303573608
143,1.0717674493789673,0.05598365142941475,0.05329021066427231,0.052742671221494675,0.38809147477149963,0.5216591358184814,0.9391459226608276,0.8863625526428223,0.9672905802726746,0.9647026658058167,0.9771906733512878,0.9427717924118042,0.8930736780166626,0.96878981590271,0.9674679040908813,0.9786357879638672,0.94286048412323,0.893476128578186,0.9682844877243042,0.9688660502433777,0.9789559841156006,0.5837481617927551,0.4243645668029785,0.959649384021759,0.9495233297348022,0.9693987369537354,0.34726208448410034,0.21022991836071014,0.0,0.0,0.6650680303573608
144,1.0584750175476074,0.05586424469947815,0.052016474306583405,0.05148620530962944,0.3788025379180908,0.5203055143356323,0.9437815546989441,0.8943215608596802,0.9689003229141235,0.9633906483650208,0.9772519469261169,0.9489398002624512,0.9034552574157715,0.9688034653663635,0.9682469367980957,0.9789100885391235,0.9498017430305481,0.9049175977706909,0.9682579040527344,0.9692651033401489,0.9790851473808289,0.6006048917770386,0.43695491552352905,0.9603118896484375,0.9508796334266663,0.9700919985771179,0.3510812819004059,0.21296370029449463,0.0,0.0,0.6650680303573608
145,1.071073293685913,0.05585920810699463,0.05492956191301346,0.05557291582226753,0.38295477628707886,0.5217570066452026,0.9418340921401978,0.8908982276916504,0.9676406383514404,0.9635136723518372,0.9768890142440796,0.9444620013237,0.8957439661026001,0.9666364192962646,0.9670689702033997,0.977800726890564,0.9459980726242065,0.8984368443489075,0.9662708640098572,0.9671164155006409,0.9776989221572876,0.5921629667282104,0.43170803785324097,0.9574762582778931,0.9506076574325562,0.9690948724746704,0.34874001145362854,0.21129193902015686,0.0,0.0,0.6650680303573608
146,1.0557917356491089,0.05452502518892288,0.05171719193458557,0.05009058862924576,0.38003605604171753,0.5194228887557983,0.9430168271064758,0.893040657043457,0.9692757725715637,0.96416175365448,0.9776424169540405,0.947008490562439,0.9002412557601929,0.9713114500045776,0.966309666633606,0.9790489077568054,0.9476913213729858,0.9014744758605957,0.9712590575218201,0.9679465889930725,0.979601263999939,0.5936958193778992,0.43319210410118103,0.9633331298828125,0.9520334601402283,0.9714629054069519,0.34949830174446106,0.2118452787399292,0.0,0.0,0.6650680303573608
147,1.0772185325622559,0.058353401720523834,0.057260166853666306,0.05532032996416092,0.38405686616897583,0.5222278237342834,0.9408239126205444,0.8890801668167114,0.9669428467750549,0.962935745716095,0.9764624238014221,0.9441465139389038,0.8950546979904175,0.9648395776748657,0.9672356247901917,0.9772769808769226,0.9454991221427917,0.8974136114120483,0.9657807350158691,0.967858612537384,0.9777967929840088,0.5902400016784668,0.42963141202926636,0.9579485654830933,0.9512805938720703,0.9694835543632507,0.34812021255493164,0.2108374834060669,0.0,0.0,0.6650680303573608
