,loss,side_6_loss,side_7_loss,side_8_loss,activation_92_loss,add_23_loss,side_6_dice_coef,side_6_jacard,side_6_recall,side_6_precision,side_6_accuracy,side_7_dice_coef,side_7_jacard,side_7_recall,side_7_precision,side_7_accuracy,side_8_dice_coef,side_8_jacard,side_8_recall,side_8_precision,side_8_accuracy,activation_92_dice_coef,activation_92_jacard,activation_92_recall,activation_92_precision,activation_92_accuracy,add_23_dice_coef,add_23_jacard,add_23_recall,add_23_precision,add_23_accuracy,val_loss,val_side_6_loss,val_side_7_loss,val_side_8_loss,val_activation_92_loss,val_add_23_loss,val_side_6_dice_coef,val_side_6_jacard,val_side_6_recall,val_side_6_precision,val_side_6_accuracy,val_side_7_dice_coef,val_side_7_jacard,val_side_7_recall,val_side_7_precision,val_side_7_accuracy,val_side_8_dice_coef,val_side_8_jacard,val_side_8_recall,val_side_8_precision,val_side_8_accuracy,val_activation_92_dice_coef,val_activation_92_jacard,val_activation_92_recall,val_activation_92_precision,val_activation_92_accuracy,val_add_23_dice_coef,val_add_23_jacard,val_add_23_recall,val_add_23_precision,val_add_23_accuracy
64,0.1783464550971985,0.05126512795686722,0.03212299570441246,0.027192046865820885,0.026621051132678986,0.04114522784948349,0.9487348198890686,0.9050485491752625,0.9377973675727844,0.9614505171775818,0.972293496131897,0.9678770303726196,0.9405327439308167,0.9537535905838013,0.981894850730896,0.9811795949935913,0.9728079438209534,0.9498452544212341,0.9580218195915222,0.9860569834709167,0.9833238124847412,0.9733788371086121,0.9509274959564209,0.9583476185798645,0.9868035316467285,0.9836176633834839,0.9588546752929688,0.9236230254173279,0.9577900171279907,0.9857245087623596,0.9831815958023071,0.14651194214820862,0.045621395111083984,0.0254827830940485,0.020591193810105324,0.019948001950979233,0.03486856445670128,0.9543784856796265,0.9127909541130066,0.9366824626922607,0.9726529717445374,0.9763100147247314,0.9745171666145325,0.9503386616706848,0.9648251533508301,0.984258770942688,0.9852756261825562,0.9794087409973145,0.9596734642982483,0.9685794115066528,0.9880731701850891,0.9872890710830688,0.9800519347190857,0.9609097838401794,0.9696864485740662,0.9884950518608093,0.9876116514205933,0.965131402015686,0.9326445460319519,0.9676990509033203,0.9881837368011475,0.987157940864563
65,0.17821380496025085,0.05117334425449371,0.03211027383804321,0.027203740552067757,0.026610149070620537,0.041116319596767426,0.9488269090652466,0.9051980972290039,0.9377791881561279,0.9616018533706665,0.9723281264305115,0.9678900241851807,0.9405646324157715,0.9539067149162292,0.9819068312644958,0.9812144637107849,0.9727962613105774,0.9498289227485657,0.9580258131027222,0.9860393404960632,0.9833174347877502,0.9733901023864746,0.9509502053260803,0.9584187269210815,0.9867764711380005,0.983616054058075,0.9588835835456848,0.9236738681793213,0.9577842354774475,0.9857373237609863,0.9831855893135071,0.14665552973747253,0.045305121690034866,0.025672126561403275,0.020748671144247055,0.02006007358431816,0.03486953675746918,0.9546950459480286,0.9133694767951965,0.9382674098014832,0.9719336032867432,0.9764498472213745,0.9743279814720154,0.9499749541282654,0.9627236127853394,0.9851924180984497,0.9851738810539246,0.9792512059211731,0.9593691825866699,0.9672411680221558,0.9885503649711609,0.9872037172317505,0.9799399375915527,0.960692822933197,0.9685424566268921,0.9888566136360168,0.9875346422195435,0.9651305079460144,0.9326412677764893,0.9664748907089233,0.9885679483413696,0.9870645403862
66,0.17753419280052185,0.05110744386911392,0.03191426023840904,0.02705385722219944,0.026463158428668976,0.0409955158829689,0.9488924741744995,0.9053170084953308,0.9379507899284363,0.9615967869758606,0.9723551273345947,0.9680860638618469,0.9409372210502625,0.9538846015930176,0.9822086691856384,0.9812960028648376,0.9729458093643188,0.9501159191131592,0.9581114649772644,0.9862670302391052,0.9833957552909851,0.9735369086265564,0.9512303471565247,0.9584492444992065,0.987018346786499,0.9836941957473755,0.9590043425559998,0.9238982200622559,0.9578683972358704,0.9859354496002197,0.9832547903060913,0.14776378870010376,0.04596884921193123,0.02581317350268364,0.0207701213657856,0.0200862567871809,0.03512539342045784,0.9540311098098755,0.9121561646461487,0.9340197443962097,0.9740831255912781,0.9761261940002441,0.9741868376731873,0.9497049450874329,0.960586667060852,0.9862157106399536,0.9850682020187378,0.9792298674583435,0.9593266844749451,0.9662142992019653,0.9890532493591309,0.9871840476989746,0.9799137115478516,0.9606415629386902,0.9672473073005676,0.9895203113555908,0.9875092506408691,0.9648746252059937,0.932162880897522,0.9652336835861206,0.9891422390937805,0.987023115158081
67,0.1769103705883026,0.0509912371635437,0.03176584467291832,0.026931995525956154,0.026347437873482704,0.04087385535240173,0.9490087628364563,0.9055195450782776,0.938042938709259,0.9617148637771606,0.972408652305603,0.9682340621948242,0.9412211179733276,0.9542575478553772,0.9821546077728271,0.9813493490219116,0.9730681777000427,0.9503453373908997,0.9583251476287842,0.9862965941429138,0.9834451675415039,0.9736524224281311,0.9514492154121399,0.9586411118507385,0.9870176315307617,0.983728289604187,0.9591261148452759,0.9241196513175964,0.9580414295196533,0.9860145449638367,0.9833056330680847,0.14665758609771729,0.04580254480242729,0.025382664054632187,0.020633848384022713,0.019881030544638634,0.03495749458670616,0.9541974663734436,0.9124646782875061,0.9349386692047119,0.9737997651100159,0.9762391448020935,0.9746171832084656,0.9505242705345154,0.9627884030342102,0.9856070280075073,0.9852901697158813,0.9793661236763,0.959588348865509,0.9663114547729492,0.9892885088920593,0.9872516393661499,0.9801190495491028,0.9610361456871033,0.9677900075912476,0.9895557761192322,0.9876214861869812,0.9650424122810364,0.9324774742126465,0.9654156565666199,0.9893317818641663,0.9870954155921936
68,0.17683500051498413,0.05098911374807358,0.03176412358880043,0.026912933215498924,0.02630603313446045,0.0408628024160862,0.9490109086036682,0.9055225253105164,0.9380672574043274,0.9616700410842896,0.9723997116088867,0.9682360887527466,0.9412145614624023,0.9540612697601318,0.9822486042976379,0.9813559055328369,0.9730870723724365,0.950381338596344,0.9582130312919617,0.986395537853241,0.9834569096565247,0.9736940860748291,0.9515269994735718,0.9586259126663208,0.9870963096618652,0.9837591648101807,0.9591373205184937,0.9241385459899902,0.9579648971557617,0.9860877990722656,0.9833160042762756,0.14914150536060333,0.046304553747177124,0.026020672172307968,0.02107962779700756,0.020294558256864548,0.035442110151052475,0.9536954760551453,0.9115423560142517,0.9321387410163879,0.9749998450279236,0.9759652018547058,0.9739794135093689,0.9493100047111511,0.9587349891662598,0.9870833158493042,0.9849820733070374,0.9789203405380249,0.9587326049804688,0.9638245105743408,0.99003666639328,0.9870489239692688,0.9797055125236511,0.9602411985397339,0.9652013182640076,0.9903765320777893,0.987403154373169,0.9645578265190125,0.9315714836120605,0.9628284573554993,0.9900594353675842,0.9868523478507996
69,0.17702484130859375,0.05094373971223831,0.03185860812664032,0.026976851746439934,0.026356816291809082,0.04088880121707916,0.9490563869476318,0.9056040644645691,0.9381104111671448,0.9617074728012085,0.9724184274673462,0.9681412577629089,0.9410465955734253,0.9540112018585205,0.9821963310241699,0.9813106656074524,0.9730232357978821,0.9502647519111633,0.9581876397132874,0.9863690733909607,0.9834288954734802,0.9736431241035461,0.9514353275299072,0.9586207866668701,0.9870859384536743,0.9837349057197571,0.9591113328933716,0.9240937232971191,0.9579351544380188,0.9860590696334839,0.9832907319068909,0.14823795855045319,0.046269647777080536,0.025679923593997955,0.020915545523166656,0.020066125318408012,0.03530671074986458,0.9537303447723389,0.9116077423095703,0.9320477843284607,0.9751752018928528,0.9759913682937622,0.9743199944496155,0.9499572515487671,0.9604371190071106,0.98649001121521,0.985133945941925,0.9790845513343811,0.959046483039856,0.9641528725624084,0.9900463223457336,0.9871113896369934,0.9799337983131409,0.9606793522834778,0.9660739898681641,0.9902583360671997,0.9875248670578003,0.9646933674812317,0.9318238496780396,0.9632262587547302,0.9900791645050049,0.9869319200515747
70,0.17723417282104492,0.05098265781998634,0.03192406892776489,0.027013568207621574,0.026383524760603905,0.0409303717315197,0.949017345905304,0.9055342674255371,0.938343346118927,0.9613902568817139,0.9723882675170898,0.9680760502815247,0.940909206867218,0.9537978768348694,0.9822041392326355,0.9812725782394409,0.97298663854599,0.9501922130584717,0.9580875039100647,0.9863963723182678,0.9834136962890625,0.9736166596412659,0.951382577419281,0.9586320519447327,0.9870045781135559,0.9837108254432678,0.959069550037384,0.9240148663520813,0.9578683972358704,0.9860426187515259,0.9832628965377808,0.15943151712417603,0.04759485274553299,0.02897186204791069,0.023380886763334274,0.022047076374292374,0.037436824291944504,0.9524052143096924,0.9091824889183044,0.9271078109741211,0.9771297574043274,0.9754711389541626,0.971028208732605,0.9437133073806763,0.9464852809906006,0.9905955791473389,0.9835928082466125,0.9766191840171814,0.9543259739875793,0.9541527032852173,0.9926169514656067,0.9859666228294373,0.9779528379440308,0.9568780064582825,0.9572902917861938,0.9925664067268372,0.9865671992301941,0.9625632166862488,0.9278536438941956,0.9530842304229736,0.9926071166992188,0.985720694065094
71,0.18238216638565063,0.05202120915055275,0.033179882913827896,0.028008755296468735,0.027223750948905945,0.04194856435060501,0.9479787945747375,0.9036667346954346,0.9367677569389343,0.960571825504303,0.9718375205993652,0.9668201208114624,0.9385818839073181,0.9522719979286194,0.9810722470283508,0.9806632399559021,0.9719914197921753,0.9483274221420288,0.9572139382362366,0.9853423833847046,0.9829373955726624,0.9727762937545776,0.9498056769371033,0.9579042792320251,0.9861440658569336,0.9833152294158936,0.9580514430999756,0.9221540093421936,0.9569947719573975,0.9849428534507751,0.9827716946601868,0.16040125489234924,0.04928649589419365,0.02856709621846676,0.022928206250071526,0.02193407155573368,0.03768541291356087,0.950713574886322,0.9061998724937439,0.932926595211029,0.9689142107963562,0.9746910929679871,0.9714329838752747,0.9446123242378235,0.965099573135376,0.9777230620384216,0.9838700294494629,0.9770717620849609,0.9552745819091797,0.9693133234977722,0.9828531742095947,0.9862747192382812,0.9780659675598145,0.9571723937988281,0.9722242951393127,0.9827811121940613,0.9867426753044128,0.9623146057128906,0.9274805188179016,0.9681816697120667,0.9830658435821533,0.9861290454864502
72,0.5349221229553223,0.11828868091106415,0.10452265292406082,0.1002800390124321,0.09890547394752502,0.11292523145675659,0.8817111253738403,0.7986466288566589,0.8804129362106323,0.8897542953491211,0.940920352935791,0.8954772353172302,0.8257672786712646,0.9071618318557739,0.8754256963729858,0.9425217509269714,0.8997198343276978,0.834224283695221,0.913249135017395,0.8727068901062012,0.9431586861610413,0.9010944962501526,0.8365165591239929,0.9141194820404053,0.8738791346549988,0.943720281124115,0.8870745897293091,0.8103168606758118,0.9126864075660706,0.8757706880569458,0.9439393877983093,0.28202715516090393,0.07152958959341049,0.05867508426308632,0.046471815556287766,0.044077664613723755,0.06127301976084709,0.9284704327583313,0.8665751218795776,0.8738798499107361,0.9816006422042847,0.9650043249130249,0.9413249492645264,0.8892229795455933,0.8828300833702087,0.9945685267448425,0.9705675840377808,0.9535282850265503,0.9112524390220642,0.9036322236061096,0.9954362511634827,0.9756640195846558,0.9559223651885986,0.915639340877533,0.9087278842926025,0.995107114315033,0.9767325520515442,0.9387269616127014,0.8845946788787842,0.9013195037841797,0.9953381419181824,0.9750609397888184
73,0.23106850683689117,0.06324610859155655,0.04379338026046753,0.03675331175327301,0.03561213240027428,0.0516635999083519,0.9367537498474121,0.8836401104927063,0.9208078384399414,0.9533135890960693,0.9665855765342712,0.9562066793441772,0.9188671708106995,0.9413581490516663,0.9711467027664185,0.9757635593414307,0.9632466435432434,0.9318196773529053,0.9483770728111267,0.9776976108551025,0.9790220260620117,0.964387834072113,0.9339393973350525,0.9492495656013489,0.9790526032447815,0.9795992374420166,0.9483364224433899,0.9043686389923096,0.9474584460258484,0.9770824313163757,0.9786812663078308,0.17514558136463165,0.051132190972566605,0.032124798744916916,0.02625860460102558,0.025062354281544685,0.04056764394044876,0.948867678642273,0.9027618169784546,0.9252838492393494,0.9718955159187317,0.9736676812171936,0.9678751826286316,0.937784731388092,0.943128764629364,0.9881365895271301,0.982123613357544,0.973741352558136,0.948851466178894,0.9520774483680725,0.9900927543640137,0.9846224188804626,0.9749375581741333,0.9511288404464722,0.956357479095459,0.9891844987869263,0.9852694272994995,0.9594324827194214,0.9220560789108276,0.9512633681297302,0.9899001121520996,0.9843895435333252
