,loss,side_6_loss,side_7_loss,side_8_loss,activation_116_loss,add_35_loss,side_6_dice_coef,side_6_jacard,side_6_recall,side_6_precision,side_6_accuracy,side_7_dice_coef,side_7_jacard,side_7_recall,side_7_precision,side_7_accuracy,side_8_dice_coef,side_8_jacard,side_8_recall,side_8_precision,side_8_accuracy,activation_116_dice_coef,activation_116_jacard,activation_116_recall,activation_116_precision,activation_116_accuracy,add_35_dice_coef,add_35_jacard,add_35_recall,add_35_precision,add_35_accuracy
123,0.09707751870155334,0.006233895663172007,0.004941942635923624,0.004310163203626871,0.060327254235744476,0.021264344453811646,0.550299346446991,0.4805476665496826,0.8794651031494141,0.8960870504379272,0.9973462820053101,0.5706140398979187,0.5118086934089661,0.9036989212036133,0.916313648223877,0.9978668689727783,0.5827165246009827,0.5315819978713989,0.9158685803413391,0.9292744994163513,0.9981656074523926,0.23422065377235413,0.1451864093542099,0.9211183786392212,0.9207214117050171,0.9981138110160828,0.3872241675853729,0.27953723073005676,0.9180183410644531,0.9304463267326355,0.9982054233551025
124,0.09521298110485077,0.006045977585017681,0.004870011005550623,0.0042612929828464985,0.059164829552173615,0.020870985463261604,0.5499209761619568,0.4815775156021118,0.8836451172828674,0.8987005949020386,0.997424304485321,0.5679540634155273,0.5099441409111023,0.9029859304428101,0.9181895852088928,0.9978834390640259,0.5791271328926086,0.5281225442886353,0.914196252822876,0.9306219816207886,0.9981640577316284,0.23616062104701996,0.14677311480045319,0.9198048114776611,0.9221699237823486,0.9981176853179932,0.38822412490844727,0.2810687720775604,0.9169378280639648,0.9319285750389099,0.9982120394706726
125,0.09414330124855042,0.006255929823964834,0.0050103431567549706,0.004366553388535976,0.05792761594057083,0.02058282308280468,0.5527822971343994,0.4826735854148865,0.8789669871330261,0.8976771235466003,0.9973617792129517,0.5724145770072937,0.5133612751960754,0.9009877443313599,0.9169983267784119,0.9978469014167786,0.5840602517127991,0.5325120091438293,0.9144991040229797,0.9282118678092957,0.9981371164321899,0.2396276295185089,0.14905747771263123,0.918594241142273,0.9208975434303284,0.9980885982513428,0.3931659162044525,0.28500354290008545,0.9157596230506897,0.9304825663566589,0.9981792569160461
126,0.09135476499795914,0.005927846301347017,0.004690568428486586,0.004076740238815546,0.05661635473370552,0.020043186843395233,0.5523447394371033,0.4837643802165985,0.8844994902610779,0.8999547958374023,0.997450053691864,0.5716567635536194,0.514053225517273,0.9070019125938416,0.9201804399490356,0.9979532957077026,0.5838034749031067,0.5338731408119202,0.9197503328323364,0.929853618144989,0.9982159733772278,0.24265265464782715,0.15162865817546844,0.9234577417373657,0.9217120409011841,0.9981520771980286,0.39563292264938354,0.2882683575153351,0.9207420349121094,0.9316820502281189,0.9982495307922363
127,0.09021203964948654,0.006032546516507864,0.004757209215313196,0.0041413987055420876,0.05553209036588669,0.01974867843091488,0.5473241209983826,0.47920846939086914,0.884645938873291,0.8972529172897339,0.997416079044342,0.5671200156211853,0.5104212164878845,0.9061583280563354,0.91854327917099,0.997921884059906,0.5792822241783142,0.5303442478179932,0.9188190698623657,0.9304543137550354,0.9982113242149353,0.24485856294631958,0.15359415113925934,0.9217476844787598,0.9233431816101074,0.9981549978256226,0.3961218595504761,0.2897787392139435,0.919756293296814,0.9316484332084656,0.9982385635375977
128,0.08978839963674545,0.006285219918936491,0.0049865054897964,0.004347309935837984,0.054582346230745316,0.019587179645895958,0.5456016659736633,0.47581928968429565,0.877764105796814,0.8967457413673401,0.9973364472389221,0.5660582184791565,0.5072931051254272,0.9005466103553772,0.9172600507736206,0.9978447556495667,0.5783091187477112,0.5273891091346741,0.9134500622749329,0.9291452765464783,0.9981372952461243,0.24740342795848846,0.15544407069683075,0.9177813529968262,0.9213541150093079,0.9980849027633667,0.3977501094341278,0.2910895049571991,0.9144031405448914,0.9308748245239258,0.9981689453125
129,0.08753710240125656,0.006012422498315573,0.004824047442525625,0.004212201107293367,0.05336903780698776,0.019119367003440857,0.5524764657020569,0.4843193292617798,0.8838693499565125,0.8995971083641052,0.9974381327629089,0.5712264180183411,0.5139303803443909,0.9055446982383728,0.9205473065376282,0.9979416131973267,0.5827327966690063,0.5329066514968872,0.9177870154380798,0.9319837689399719,0.9982203841209412,0.25205931067466736,0.15880423784255981,0.9207003116607666,0.9256760478019714,0.998172402381897,0.4034973382949829,0.29643335938453674,0.9188437461853027,0.9341599345207214,0.9982599020004272
130,0.08665378391742706,0.006064948160201311,0.004856459330767393,0.004287928342819214,0.052536994218826294,0.018907580524683,0.5517680644989014,0.48351985216140747,0.8846666812896729,0.8984313607215881,0.9974319934844971,0.5700124502182007,0.5119054317474365,0.9062673449516296,0.9162853360176086,0.9978957772254944,0.580852746963501,0.5296056866645813,0.9179050922393799,0.9270028471946716,0.9981592893600464,0.2533157467842102,0.15990203619003296,0.9198524951934814,0.9193358421325684,0.9980819821357727,0.40405139327049255,0.29718220233917236,0.9190589189529419,0.9291521906852722,0.9981986284255981
131,0.08508607000112534,0.006098776590079069,0.004845160525292158,0.004247477278113365,0.0513455793261528,0.01854912005364895,0.5442589521408081,0.4768944978713989,0.8825759291648865,0.9002806544303894,0.9974343776702881,0.5635194182395935,0.5072011351585388,0.9036415815353394,0.920784592628479,0.9979238510131836,0.5741410255432129,0.5246378183364868,0.9155203104019165,0.9304044842720032,0.9981770515441895,0.25415366888046265,0.16114993393421173,0.9184001088142395,0.9236794710159302,0.9981221556663513,0.4028785526752472,0.297826886177063,0.9162554740905762,0.932827889919281,0.9982150793075562
132,0.08404478430747986,0.00608192989602685,0.004897004459053278,0.004338850267231464,0.05040859431028366,0.01831830106675625,0.5505646467208862,0.4820290803909302,0.8826974034309387,0.8977481126785278,0.9974024295806885,0.5687381029129028,0.510604739189148,0.9029805064201355,0.9183656573295593,0.9978859424591064,0.5801553726196289,0.5294105410575867,0.9145169854164124,0.9281198382377625,0.9981362223625183,0.2584007680416107,0.1640254110097885,0.9180600643157959,0.9223774671554565,0.9981024265289307,0.4082222282886505,0.3019600510597229,0.9158558249473572,0.9303828477859497,0.9981802105903625
