,loss,dice_coef,jacard,recall_2,precision_2,accuracy
0,0.6056123971939087,0.3784558176994324,0.23892152309417725,0.4865184426307678,0.4402572512626648,0.6859545111656189
1,0.4016529619693756,0.5418012738227844,0.37830546498298645,0.7470374703407288,0.7596324682235718,0.8642482757568359
2,0.3132941722869873,0.6241653561592102,0.46169424057006836,0.8124961256980896,0.8494437336921692,0.9080336093902588
3,0.26718559861183167,0.6775871515274048,0.5204064249992371,0.8209826946258545,0.889075756072998,0.9219225645065308
4,0.23881104588508606,0.7025117874145508,0.5521619915962219,0.8526101112365723,0.8874375224113464,0.9291107058525085
5,0.2281942069530487,0.7153129577636719,0.5661972165107727,0.8459240198135376,0.9050046801567078,0.9326241612434387
6,0.22342705726623535,0.7212363481521606,0.5756177306175232,0.8452882766723633,0.9078723192214966,0.9332847595214844
7,0.2168845683336258,0.7323452234268188,0.5888625979423523,0.860032856464386,0.9018115401268005,0.9351938962936401
8,0.19819168746471405,0.7409836053848267,0.5998594760894775,0.873478889465332,0.915505051612854,0.9425369501113892
9,0.20575150847434998,0.7382127642631531,0.5971745252609253,0.8564704656600952,0.9120041728019714,0.9372577667236328
10,0.19210460782051086,0.7479713559150696,0.6096407771110535,0.8798991441726685,0.907456636428833,0.9417888522148132
11,0.1853659749031067,0.7571927905082703,0.6215858459472656,0.8816078901290894,0.91741544008255,0.9451401829719543
12,0.18665125966072083,0.7517083883285522,0.6150010228157043,0.881824254989624,0.9201748371124268,0.9459944367408752
13,0.15908282995224,0.778476357460022,0.649266242980957,0.9120445251464844,0.9346920251846313,0.9579213261604309
14,0.17019811272621155,0.7732107043266296,0.6419664025306702,0.9034901261329651,0.9177595376968384,0.9507666230201721
15,0.17408797144889832,0.7677143216133118,0.6357328295707703,0.8893560767173767,0.9316319227218628,0.9511999487876892
16,0.16170847415924072,0.7715331315994263,0.6429351568222046,0.9110576510429382,0.927609920501709,0.9556022882461548
17,0.15314912796020508,0.7863349914550781,0.6592936515808105,0.9223599433898926,0.9300267696380615,0.9592097997665405
18,0.1480737179517746,0.7890722751617432,0.6628355979919434,0.9137253165245056,0.944240152835846,0.9610973596572876
19,0.14013126492500305,0.7968311905860901,0.6730830669403076,0.9322981238365173,0.9369668960571289,0.9638192653656006
20,0.14267228543758392,0.7959790825843811,0.6704833507537842,0.9190853834152222,0.9463745951652527,0.9631054997444153
21,0.1388227641582489,0.7984578609466553,0.6781110763549805,0.9326391816139221,0.9382938146591187,0.9642980098724365
22,0.13128148019313812,0.8056931495666504,0.6848365664482117,0.936344563961029,0.9423958659172058,0.9664633274078369
23,0.13195954263210297,0.8125213384628296,0.6941302418708801,0.9324846863746643,0.9445508718490601,0.9660843014717102
24,0.14171692728996277,0.7956870794296265,0.6722383499145508,0.922071635723114,0.9412818551063538,0.9624245762825012
25,0.13469411432743073,0.8013702630996704,0.6809107065200806,0.9260305166244507,0.9510889053344727,0.9662685394287109
26,0.12816673517227173,0.8118491172790527,0.6939765214920044,0.9369770884513855,0.9482561349868774,0.9683326482772827
27,0.12376296520233154,0.807745635509491,0.6890696883201599,0.9415460228919983,0.9526352286338806,0.9707972407341003
28,0.11843904107809067,0.8152673840522766,0.6994560956954956,0.9396360516548157,0.9544843435287476,0.9708238244056702
