,loss,dice_coef,jacard,recall_2,precision_2,accuracy
0,0.256174236536026,0.703148603439331,0.5693392753601074,0.76566082239151,0.8410466909408569,0.0050683896988630295
1,0.07922914624214172,0.9056665301322937,0.8311503529548645,0.9343842267990112,0.950386643409729,0.008013288490474224
2,0.0735836923122406,0.9163439869880676,0.8494400382041931,0.9449653625488281,0.9566518068313599,0.012108158320188522
3,0.0668213814496994,0.9275201559066772,0.8678961992263794,0.950285017490387,0.9629460573196411,0.01505914144217968
4,0.057263124734163284,0.9343745708465576,0.8799780011177063,0.9566776156425476,0.9645638465881348,0.030605042353272438
5,0.05632168427109718,0.9375207424163818,0.8858107924461365,0.9582493901252747,0.9683230519294739,0.030818000435829163
6,0.057242799550294876,0.9365562796592712,0.8852968811988831,0.9574767351150513,0.9664798378944397,0.04330339655280113
7,0.05346020683646202,0.948687732219696,0.9046913385391235,0.9642696380615234,0.9700219035148621,0.03648875653743744
8,0.05834188684821129,0.934095025062561,0.8791724443435669,0.9566619396209717,0.9707487225532532,0.04051060974597931
9,0.05697634816169739,0.9404745101928711,0.8908801078796387,0.9606409072875977,0.9654481410980225,0.043321650475263596
10,0.05183631181716919,0.9426455497741699,0.8942203521728516,0.9605751037597656,0.9708404541015625,0.032850224524736404
11,0.052342068403959274,0.9422037601470947,0.8938576579093933,0.9615802764892578,0.9687826633453369,0.033470842987298965
12,0.05026278272271156,0.9452289342880249,0.8994259238243103,0.9637073278427124,0.9696996212005615,0.04426474869251251
13,0.05003631114959717,0.9447852969169617,0.8981723785400391,0.9623565673828125,0.9697743654251099,0.03008786030113697
14,0.052262578159570694,0.9461124539375305,0.901077151298523,0.9608902335166931,0.9716621041297913,0.0397622175514698
15,0.05090947821736336,0.943719744682312,0.896247148513794,0.9636608958244324,0.9683918952941895,0.03437134996056557
16,0.047716882079839706,0.9515906572341919,0.909637451171875,0.9672338962554932,0.9745877981185913,0.03139602765440941
17,0.04731156304478645,0.948678195476532,0.9051370620727539,0.9639644026756287,0.9739275574684143,0.03697551414370537
18,0.04461417719721794,0.9563536047935486,0.9188164472579956,0.9689906239509583,0.9753227233886719,0.03808898106217384
19,0.04234244301915169,0.9524127840995789,0.9113188982009888,0.9668631553649902,0.9760916829109192,0.0279704537242651
20,0.04090384766459465,0.9560452699661255,0.9179940819740295,0.968093991279602,0.9749900102615356,0.033361323177814484
21,0.03864079713821411,0.9540517926216125,0.9145822525024414,0.9691820740699768,0.9755823612213135,0.039896078407764435
22,0.04071137681603432,0.9538446664810181,0.913536012172699,0.9677338600158691,0.9742562174797058,0.033726390451192856
23,0.04594762623310089,0.9507187604904175,0.9082391262054443,0.9645491242408752,0.9713969230651855,0.05065955966711044
24,0.04734523221850395,0.9495245814323425,0.9066590070724487,0.9675577282905579,0.9742615222930908,0.035028476268053055
25,0.04253280162811279,0.9541457891464233,0.9144015312194824,0.9671711921691895,0.9764047861099243,0.02609642781317234
26,0.03793155774474144,0.95743328332901,0.9204169511795044,0.9706448912620544,0.9759168028831482,0.031882788985967636
27,0.0379478819668293,0.9601070284843445,0.9251261353492737,0.9707483649253845,0.9776204824447632,0.03515625
28,0.03365446627140045,0.9590298533439636,0.9227770566940308,0.9722080230712891,0.9772891402244568,0.027215976268053055
29,0.03727671504020691,0.9576997756958008,0.9207421541213989,0.9698798060417175,0.9767180681228638,0.041198160499334335
30,0.035521771758794785,0.9594129920005798,0.9242076277732849,0.9714480638504028,0.9762448072433472,0.0544380359351635
31,0.03775184229016304,0.9568721652030945,0.9198549389839172,0.9708576798439026,0.977580726146698,0.03688424825668335
32,0.03597826510667801,0.9592834115028381,0.9242002964019775,0.9719395041465759,0.9771205186843872,0.035965487360954285
33,0.03799992427229881,0.9578062891960144,0.9207794070243835,0.9702774882316589,0.976058840751648,0.02392425946891308
34,0.036832425743341446,0.9592114686965942,0.9238419532775879,0.971245288848877,0.9788520336151123,0.047398265451192856
35,0.034333426505327225,0.9617564082145691,0.9286051988601685,0.9720761775970459,0.9764866828918457,0.03235737979412079
36,0.033651821315288544,0.9608768820762634,0.9264034628868103,0.9716042280197144,0.9790123105049133,0.03493112325668335
37,0.025361306965351105,0.9704556465148926,0.9434606432914734,0.9765738844871521,0.9828274846076965,0.03586205095052719
38,0.0261031873524189,0.9680705070495605,0.9390625357627869,0.9751414060592651,0.9819343090057373,0.05916569381952286
39,0.034082431346178055,0.9590049982070923,0.9234203696250916,0.9712952375411987,0.9771128296852112,0.07501582056283951
40,0.029646581038832664,0.9646079540252686,0.9332833886146545,0.973093569278717,0.9792370796203613,0.06713639199733734
41,0.03063747100532055,0.9635993838310242,0.9312294721603394,0.972733736038208,0.9777907133102417,0.04410046711564064
42,0.023682039231061935,0.9709182381629944,0.9445285797119141,0.9775100946426392,0.9825330972671509,0.06706337630748749
43,0.028645947575569153,0.96670001745224,0.9367349147796631,0.9750449657440186,0.9800713658332825,0.06406372040510178
44,0.02372204326093197,0.9709346890449524,0.9441400766372681,0.9791846871376038,0.9820913672447205,0.05617820471525192
45,0.02307596616446972,0.9705014824867249,0.9438289999961853,0.9785483479499817,0.9821516871452332,0.05535679683089256
46,0.023501696065068245,0.9712912440299988,0.9450001120567322,0.9781074523925781,0.9831053018569946,0.06772658973932266
47,0.021648116409778595,0.9735902547836304,0.949107825756073,0.9792302846908569,0.9854222536087036,0.04277404770255089
48,0.020964402705430984,0.9748136401176453,0.9515536427497864,0.9813047647476196,0.9833799004554749,0.03928154334425926
49,0.02312859147787094,0.9711464643478394,0.9445967674255371,0.9798171520233154,0.9814257025718689,0.08494572341442108
50,0.02075383812189102,0.9740411639213562,0.950065016746521,0.9802717566490173,0.9836404323577881,0.0799260139465332
51,0.019321246072649956,0.9761523604393005,0.9539005160331726,0.9814143776893616,0.9843031764030457,0.07317221909761429
52,0.015029816888272762,0.9798352718353271,0.9606055021286011,0.9863296747207642,0.9876378178596497,0.04457505792379379
