,loss,dice_coef,jacard,recall,precision,accuracy
0,0.35020455718040466,0.024989169090986252,0.012779162265360355,0.09821344166994095,0.015241884626448154,0.9134321212768555
1,0.17675377428531647,0.03356877341866493,0.017313890159130096,0.012850538827478886,0.23531273007392883,0.9877098798751831
2,0.12722113728523254,0.056839752942323685,0.02997240051627159,0.20482000708580017,0.6535348296165466,0.9892047643661499
3,0.09453587234020233,0.08484424650669098,0.0459551066160202,0.36741337180137634,0.6422106027603149,0.9899992346763611
4,0.07149931788444519,0.11816564947366714,0.06621801853179932,0.4405519962310791,0.6595039963722229,0.990601658821106
5,0.05518433451652527,0.15779241919517517,0.09203111380338669,0.48499003052711487,0.6813687086105347,0.9911400079727173
6,0.043625473976135254,0.19829833507537842,0.12048039585351944,0.514945924282074,0.7088187336921692,0.9916805624961853
7,0.03577672317624092,0.2362249493598938,0.1491985023021698,0.5296094417572021,0.7217729687690735,0.9919431209564209
8,0.02997690998017788,0.2769261300563812,0.1816222071647644,0.5489412546157837,0.7409783005714417,0.9923187494277954
9,0.025940459221601486,0.3064165711402893,0.2080557495355606,0.5765969753265381,0.7478383779525757,0.9926214218139648
10,0.022976091131567955,0.33102062344551086,0.23149226605892181,0.6001818776130676,0.7635112404823303,0.9930047392845154
11,0.02090446650981903,0.36218300461769104,0.25896045565605164,0.618195116519928,0.7694136500358582,0.9932266473770142
12,0.019237156957387924,0.3729434609413147,0.2727743983268738,0.6381930708885193,0.7832134366035461,0.9935680627822876
13,0.017819715663790703,0.39854395389556885,0.2963058352470398,0.6606258153915405,0.7875218987464905,0.9938172101974487
14,0.016545308753848076,0.41606611013412476,0.3138216435909271,0.6825591921806335,0.800687313079834,0.994178831577301
15,0.015517227351665497,0.4233402907848358,0.3236364424228668,0.7028620839118958,0.8064775466918945,0.9944368600845337
16,0.01462776493281126,0.44043856859207153,0.34084418416023254,0.7187733054161072,0.81601482629776,0.9947049617767334
17,0.013794522732496262,0.4577881097793579,0.3578696548938751,0.7351625561714172,0.8252432942390442,0.994976818561554
18,0.01298865582793951,0.4659022092819214,0.3678032159805298,0.7513565421104431,0.8310055136680603,0.995206356048584
19,0.012463578023016453,0.4651584029197693,0.370000958442688,0.7628248333930969,0.834708571434021,0.9953628182411194
20,0.011774551123380661,0.48106420040130615,0.3859279155731201,0.7774555087089539,0.8446035981178284,0.9956333041191101
21,0.011296520009636879,0.4850082993507385,0.39203357696533203,0.7838211059570312,0.8477640748023987,0.9957358837127686
22,0.01072204951196909,0.4857063889503479,0.39483925700187683,0.7965843677520752,0.8531680703163147,0.9959320425987244
23,0.01038555707782507,0.5001838803291321,0.40935850143432617,0.8025615215301514,0.8575900793075562,0.9960494637489319
24,0.010050075128674507,0.4953213036060333,0.4068886935710907,0.810104489326477,0.8575189113616943,0.9961248636245728
25,0.009522739797830582,0.5004733204841614,0.4141184091567993,0.819153368473053,0.8658689260482788,0.9963233470916748
26,0.009124280884861946,0.5079618096351624,0.42264994978904724,0.8287689685821533,0.8682601451873779,0.9964529275894165
27,0.009031964465975761,0.5127750039100647,0.42813098430633545,0.8330869674682617,0.867626965045929,0.9964872598648071
28,0.00870254822075367,0.5111115574836731,0.42771169543266296,0.8383768796920776,0.8697943687438965,0.996569812297821
29,0.008387199603021145,0.5169398784637451,0.43521106243133545,0.8455430269241333,0.8744413256645203,0.9967049956321716
30,0.00830964744091034,0.5249606966972351,0.442562073469162,0.8465977311134338,0.8755602836608887,0.9967302083969116
31,0.008172007277607918,0.5267090797424316,0.4450288414955139,0.8488530516624451,0.8751025199890137,0.9967473149299622
32,0.007916511036455631,0.5290358662605286,0.4490590989589691,0.853084921836853,0.8806172013282776,0.9968631863594055
33,0.007804566994309425,0.5333507657051086,0.45295435190200806,0.8555170893669128,0.8807740807533264,0.9968917965888977
34,0.007777256425470114,0.531755268573761,0.4526963531970978,0.8581634759902954,0.8797478675842285,0.9969059824943542
35,0.00747283361852169,0.5241469144821167,0.44790250062942505,0.8611822128295898,0.8849288821220398,0.9970044493675232
36,0.007365222554653883,0.539650022983551,0.4623207151889801,0.8632547855377197,0.8860085606575012,0.9970403909683228
37,0.007017599884420633,0.5394716858863831,0.4644032418727875,0.8722823858261108,0.8902873992919922,0.9971895813941956
38,0.007012066897004843,0.5421226024627686,0.4671541452407837,0.8694934248924255,0.8900811076164246,0.9971583485603333
39,0.006966065615415573,0.5389946699142456,0.465094655752182,0.8723827004432678,0.8904209136962891,0.9971932768821716
40,0.006801825948059559,0.5493755340576172,0.475036084651947,0.8746910095214844,0.8931756019592285,0.9972543120384216
41,0.006647057831287384,0.5444034934043884,0.4717572331428528,0.8763322830200195,0.89532071352005,0.9972987771034241
42,0.006646305788308382,0.5455875396728516,0.47324731945991516,0.8777709603309631,0.8937716484069824,0.9972936511039734
43,0.006343796383589506,0.5523358583450317,0.48096969723701477,0.8837568759918213,0.8984196782112122,0.9974184632301331
44,0.006321151740849018,0.5493727326393127,0.4790741503238678,0.8825429081916809,0.8992582559585571,0.997416079044342
45,0.0063089169561862946,0.5513344407081604,0.4808960556983948,0.8846877217292786,0.8982623815536499,0.99742591381073
46,0.006228886544704437,0.5526285171508789,0.48292240500450134,0.8849274516105652,0.8991432189941406,0.9974402189254761
