,loss,dice_coef,jacard,recall,precision,accuracy
0,0.4655184745788574,0.5575358271598816,0.400409460067749,0.582789421081543,0.7471989989280701,0.06132812425494194
1,0.3464892506599426,0.6538290977478027,0.4950522482395172,0.6906991600990295,0.8386341333389282,0.07456596940755844
2,0.3177814781665802,0.6924861669540405,0.5397856831550598,0.7190888524055481,0.8553093075752258,0.06464843451976776
3,0.25990694761276245,0.7522881031036377,0.6143405437469482,0.7745521664619446,0.8947083950042725,0.05721571296453476
4,0.26206445693969727,0.7630882859230042,0.625778079032898,0.7806481719017029,0.8972622752189636,0.06512586772441864
5,0.2244599312543869,0.7944492101669312,0.6666828989982605,0.8183507919311523,0.9052737951278687,0.05190972238779068
6,0.24980099499225616,0.7581549286842346,0.6216596364974976,0.7745374441146851,0.9086616039276123,0.03907335177063942
7,0.2101716548204422,0.804857611656189,0.6832314729690552,0.8206221461296082,0.9231118559837341,0.0296766497194767
8,0.22464045882225037,0.794253945350647,0.6684833765029907,0.8173100352287292,0.9011485576629639,0.0387912318110466
9,0.18635155260562897,0.824895977973938,0.7092769742012024,0.8467670679092407,0.919823944568634,0.03198784589767456
10,0.17874135076999664,0.8276861310005188,0.7149516344070435,0.8517119884490967,0.9251163601875305,0.03684895858168602
11,0.1682864874601364,0.8394681215286255,0.7308866381645203,0.8611589074134827,0.9271686673164368,0.03733723983168602
12,0.13746726512908936,0.8684883117675781,0.7723339796066284,0.8930225372314453,0.9351710081100464,0.01647135429084301
13,0.139847069978714,0.8729780912399292,0.7795990109443665,0.8954182267189026,0.9345960021018982,0.03122829832136631
14,0.1622670590877533,0.8485192060470581,0.7447119355201721,0.8789111375808716,0.9205202460289001,0.04538845643401146
15,0.22997096180915833,0.7937406897544861,0.6712742447853088,0.8154455423355103,0.8821566104888916,0.007855902425944805
16,0.15014685690402985,0.8583865165710449,0.756412148475647,0.8885343074798584,0.9230071306228638,0.02744140662252903
17,0.1275731772184372,0.8759892582893372,0.7829536199569702,0.902205765247345,0.9383395910263062,0.02826605923473835
18,0.12987568974494934,0.8718956708908081,0.7788650393486023,0.9053986668586731,0.9320881962776184,0.01331380195915699
19,0.10569974035024643,0.8934447169303894,0.8115800023078918,0.9247468709945679,0.9399729371070862,0.02798394113779068
20,0.10129294544458389,0.9011871218681335,0.8228968381881714,0.9275858998298645,0.9439812898635864,0.01986762136220932
21,0.09104245901107788,0.9064222574234009,0.8312839269638062,0.9357914924621582,0.9496220946311951,0.04207899421453476
22,0.08249842375516891,0.9155758619308472,0.8462914228439331,0.9466009736061096,0.9491242170333862,0.02604166604578495
23,0.13887488842010498,0.873091995716095,0.7801848649978638,0.8985921144485474,0.9241109490394592,0.01528862863779068
24,0.10347405821084976,0.8968194127082825,0.8170032501220703,0.9244847297668457,0.9453721642494202,0.009570312686264515
25,0.07583527266979218,0.9198430180549622,0.8530917167663574,0.9497453570365906,0.9536076188087463,0.02008463628590107
26,0.07376138865947723,0.9242048263549805,0.8604363203048706,0.951214611530304,0.9532222151756287,0.011881510727107525
