,loss,side_6_loss,side_7_loss,side_8_loss,activation_779_loss,out_10_loss,side_6_dice_coef,side_6_jacard,side_6_recall_11,side_6_precision_11,side_6_accuracy,side_7_dice_coef,side_7_jacard,side_7_recall_11,side_7_precision_11,side_7_accuracy,side_8_dice_coef,side_8_jacard,side_8_recall_11,side_8_precision_11,side_8_accuracy,activation_779_dice_coef,activation_779_jacard,activation_779_recall_11,activation_779_precision_11,activation_779_accuracy,out_10_dice_coef,out_10_jacard,out_10_recall_11,out_10_precision_11,out_10_accuracy,val_loss,val_side_6_loss,val_side_7_loss,val_side_8_loss,val_activation_779_loss,val_out_10_loss,val_side_6_dice_coef,val_side_6_jacard,val_side_6_recall_11,val_side_6_precision_11,val_side_6_accuracy,val_side_7_dice_coef,val_side_7_jacard,val_side_7_recall_11,val_side_7_precision_11,val_side_7_accuracy,val_side_8_dice_coef,val_side_8_jacard,val_side_8_recall_11,val_side_8_precision_11,val_side_8_accuracy,val_activation_779_dice_coef,val_activation_779_jacard,val_activation_779_recall_11,val_activation_779_precision_11,val_activation_779_accuracy,val_out_10_dice_coef,val_out_10_jacard,val_out_10_recall_11,val_out_10_precision_11,val_out_10_accuracy
60,0.9148083925247192,0.027342665940523148,0.01748049072921276,0.01653701812028885,0.4115406572818756,0.44105103611946106,0.9726573824882507,0.9469912052154541,0.9730411171913147,0.9787538647651672,0.9844358563423157,0.9825195074081421,0.9658353924751282,0.9787045121192932,0.9877223968505859,0.9891684651374817,0.9834628701210022,0.9676642417907715,0.9790428280830383,0.9883410334587097,0.9894774556159973,0.5884593725204468,0.4267422556877136,0.9772515892982483,0.9480248093605042,0.9752928614616394,0.5589489936828613,0.40465083718299866,0.9897165894508362,0.9418856501579285,0.9769039154052734,1.354354977607727,0.14102421700954437,0.1250060498714447,0.12206288427114487,0.4626544713973999,0.5027506947517395,0.8589758276939392,0.7596538066864014,0.8875393271446228,0.8574597239494324,0.9241803288459778,0.8749939799308777,0.7837042808532715,0.8841992020606995,0.8808155059814453,0.931341826915741,0.8779371380805969,0.7885120511054993,0.8879840970039368,0.8808781504631042,0.9323170781135559,0.5373455286026001,0.3802809417247772,0.9200204014778137,0.8322101831436157,0.9225845336914062,0.4972493350505829,0.347199022769928,0.931553840637207,0.7708891034126282,0.8993040919303894
61,0.9125049710273743,0.026889748871326447,0.01698138378560543,0.01583627611398697,0.41131165623664856,0.44062885642051697,0.9731102585792542,0.9478322863578796,0.9741252660751343,0.9787504076957703,0.984778106212616,0.9830185770988464,0.9667681455612183,0.9798392653465271,0.9877575039863586,0.9895426630973816,0.984163761138916,0.9690060019493103,0.980219304561615,0.9886985421180725,0.9899699091911316,0.5886884927749634,0.4269915819168091,0.9785959720611572,0.94944167137146,0.9762027859687805,0.5593711733818054,0.4050927758216858,0.9899802803993225,0.942585825920105,0.9772367477416992,1.3908473253250122,0.14874957501888275,0.13597971200942993,0.13335563242435455,0.46660780906677246,0.5052970051765442,0.8512504696846008,0.7496927976608276,0.8716083765029907,0.85422283411026,0.9191837310791016,0.8640203475952148,0.7679418325424194,0.870505154132843,0.8744344115257263,0.9257857203483582,0.8666443228721619,0.7722069025039673,0.8740785717964172,0.8738175630569458,0.9264723658561707,0.5333921909332275,0.37670478224754333,0.9119927883148193,0.8295458555221558,0.9196891784667969,0.4947029650211334,0.34502139687538147,0.9225037097930908,0.7852883338928223,0.9038479924201965
62,0.9118209481239319,0.026909731328487396,0.01676914095878601,0.015795741230249405,0.4111630618572235,0.44032543897628784,0.9730902314186096,0.9478052854537964,0.9741287231445312,0.9786828756332397,0.9847569465637207,0.9832309484481812,0.96718430519104,0.9803582429885864,0.9878152012825012,0.9897273182868958,0.9842042922973633,0.9690860509872437,0.9802173376083374,0.9888434410095215,0.9900162816047668,0.5888369083404541,0.4271431863307953,0.9789195656776428,0.9502159357070923,0.9765739440917969,0.5596745014190674,0.4054018259048462,0.9901835322380066,0.9419787526130676,0.9770793914794922,1.4189023971557617,0.15741556882858276,0.14374594390392303,0.1401708722114563,0.46941837668418884,0.5072934627532959,0.8425843119621277,0.7377121448516846,0.8578576445579529,0.8560063242912292,0.9164683222770691,0.8562541007995605,0.7565431594848633,0.8569441437721252,0.8775754570960999,0.9234218597412109,0.8598291277885437,0.7620024085044861,0.8605763912200928,0.8779178261756897,0.924444854259491,0.5305815935134888,0.37412452697753906,0.9038060307502747,0.8373685479164124,0.920760452747345,0.4927065372467041,0.34336888790130615,0.9116984605789185,0.7954551577568054,0.9058856964111328
63,0.9100397229194641,0.02654406614601612,0.016396548599004745,0.015314880758523941,0.4109567701816559,0.43996894359588623,0.9734557867050171,0.9484909176826477,0.9749118685722351,0.9785236120223999,0.984952449798584,0.9836034774780273,0.9678961038589478,0.9805227518081665,0.9882122278213501,0.9899089932441711,0.9846852421760559,0.9700062274932861,0.980872392654419,0.9890167713165283,0.9902822375297546,0.589043140411377,0.4273509979248047,0.9797454476356506,0.9531746506690979,0.9778633117675781,0.5600311160087585,0.40578535199165344,0.9903578758239746,0.9424791932106018,0.9773130416870117,1.3991931676864624,0.1522083580493927,0.13803674280643463,0.13549377024173737,0.4681222140789032,0.5044731497764587,0.8477917313575745,0.7440505027770996,0.8738714456558228,0.8458067774772644,0.91676265001297,0.8619632124900818,0.7641134858131409,0.8707624673843384,0.8714882731437683,0.9248682856559753,0.864506185054779,0.7682761549949646,0.8742094039916992,0.8703667521476746,0.9253482818603516,0.5318777561187744,0.3752293884754181,0.913754403591156,0.8213056921958923,0.9168745875358582,0.49552685022354126,0.34567052125930786,0.9244266748428345,0.7724823951721191,0.8985646367073059
64,0.9083148241043091,0.026179742068052292,0.015932627022266388,0.014939120970666409,0.4107821583747864,0.4396219849586487,0.9738202691078186,0.9491760730743408,0.9752050042152405,0.9789693355560303,0.9851921200752258,0.9840672016143799,0.9687890410423279,0.9812882542610168,0.9887591004371643,0.9903316497802734,0.9850608110427856,0.9707300066947937,0.9814149141311646,0.9894707798957825,0.9906032681465149,0.5892179608345032,0.42754483222961426,0.9800985455513,0.9544601440429688,0.9784202575683594,0.5603780746459961,0.4061557948589325,0.9906426668167114,0.9438877105712891,0.9779073596000671,1.4220112562179565,0.16308392584323883,0.14277851581573486,0.14096659421920776,0.46952757239341736,0.5047951340675354,0.8369160890579224,0.72845458984375,0.8792849779129028,0.8132749795913696,0.9059270024299622,0.8572214841842651,0.7565256357192993,0.8791323304176331,0.8462131023406982,0.9181626439094543,0.8590334057807922,0.7595416903495789,0.882415771484375,0.845053493976593,0.9185288548469543,0.530472457408905,0.3733639717102051,0.9192246198654175,0.7936204671859741,0.9067370295524597,0.4952048659324646,0.3449377715587616,0.9289637207984924,0.7383618354797363,0.8832924962043762
65,0.9071322679519653,0.025952277705073357,0.01575881615281105,0.014669363386929035,0.4106021225452423,0.43928995728492737,0.9740476012229919,0.9495941400527954,0.976004421710968,0.9786892533302307,0.9853529930114746,0.9842413067817688,0.9691119194030762,0.9817080497741699,0.9887384176254272,0.9904592633247375,0.9853305220603943,0.9712436199188232,0.9815961122512817,0.9898048639297485,0.9907696843147278,0.5893978476524353,0.4277311861515045,0.9801756143569946,0.9558804035186768,0.9789379239082336,0.5607100129127502,0.40651771426200867,0.9910187721252441,0.9438856840133667,0.9780211448669434,1.446437120437622,0.17042791843414307,0.15033940970897675,0.14817777276039124,0.4712534546852112,0.5053786039352417,0.8295720815658569,0.7179081439971924,0.8781381845474243,0.7991194725036621,0.900091826915741,0.8496605753898621,0.7453384399414062,0.8776585459709167,0.8320098519325256,0.9126479029655457,0.8518222570419312,0.7488381862640381,0.8809680938720703,0.8314868211746216,0.913223922252655,0.5287465453147888,0.3715374767780304,0.919139564037323,0.7774567008018494,0.8996970057487488,0.4946214258670807,0.34425997734069824,0.929190456867218,0.7204968333244324,0.8742358088493347
66,0.9065130352973938,0.025878529995679855,0.015646375715732574,0.014684510417282581,0.410489559173584,0.4389539659023285,0.9741215109825134,0.9497318863868713,0.9766918420791626,0.9783506393432617,0.9854588508605957,0.9843536019325256,0.9693224430084229,0.9823655486106873,0.9884703755378723,0.9905824661254883,0.9853154420852661,0.9712059497833252,0.9821799397468567,0.9894436597824097,0.9908394813537598,0.5895105600357056,0.42784976959228516,0.9808217883110046,0.9559310078620911,0.9791550636291504,0.5610460638999939,0.40687692165374756,0.9913389086723328,0.9428735375404358,0.9777536392211914,1.4198116064071655,0.1609012633562088,0.14367170631885529,0.14125391840934753,0.46905580163002014,0.5040681958198547,0.8390986323356628,0.7306352257728577,0.8765967488288879,0.8191670179367065,0.9075838923454285,0.8563283085823059,0.7548483610153198,0.8769913911819458,0.8441983461380005,0.9169304966926575,0.8587460517883301,0.7588223218917847,0.8811599612236023,0.844300389289856,0.9179585576057434,0.5309441685676575,0.3737151026725769,0.9175872802734375,0.7976223230361938,0.9080753326416016,0.4959318935871124,0.34555578231811523,0.9275879859924316,0.7477249503135681,0.8876209259033203
67,0.9052671790122986,0.025720514357089996,0.015440836548805237,0.014267110265791416,0.410335510969162,0.4386422336101532,0.9742793440818787,0.9500315189361572,0.976764976978302,0.9785023331642151,0.9855321049690247,0.9845592379570007,0.969717800617218,0.9828693270683289,0.9883351922035217,0.9906995892524719,0.9857329726219177,0.972009003162384,0.9830946922302246,0.9894269704818726,0.9911270141601562,0.5896644592285156,0.42800551652908325,0.9811782836914062,0.9560492634773254,0.9793062210083008,0.561357855796814,0.40719860792160034,0.9915220737457275,0.9432446360588074,0.9779432415962219,1.3963849544525146,0.1543700248003006,0.13687092065811157,0.13455075025558472,0.46707120537757874,0.5026607513427734,0.8456299304962158,0.7400497198104858,0.8798845410346985,0.8312509655952454,0.9128844141960144,0.8631290197372437,0.7648482322692871,0.8778241872787476,0.8576555848121643,0.9218864440917969,0.8654491901397705,0.7686864137649536,0.881253719329834,0.8581309914588928,0.9228865504264832,0.5329288244247437,0.3757668137550354,0.9156294465065002,0.8110813498497009,0.9132041931152344,0.4973392188549042,0.3469010591506958,0.9277973175048828,0.7566611170768738,0.8919346928596497
68,0.9041762351989746,0.025619642809033394,0.015221521258354187,0.013926991261541843,0.41020604968070984,0.43834033608436584,0.974380373954773,0.950228750705719,0.9769275188446045,0.9785116314888,0.9855866432189941,0.9847785234451294,0.9701523780822754,0.9829636216163635,0.9884645938873291,0.9907719492912292,0.9860730171203613,0.9726769328117371,0.9833166599273682,0.9896190762519836,0.9912605285644531,0.5897939205169678,0.4281412363052368,0.9818819165229797,0.9563944339752197,0.9796435236930847,0.561659574508667,0.40750038623809814,0.9916021227836609,0.9437170624732971,0.9781379699707031,1.3911828994750977,0.1515064537525177,0.1365615576505661,0.13458380103111267,0.4659085273742676,0.5017605423927307,0.8484934568405151,0.7455270290374756,0.8867478966712952,0.8348169922828674,0.915808379650116,0.8634384870529175,0.7663700580596924,0.8848554491996765,0.8583652973175049,0.9238452911376953,0.8654161691665649,0.7697252631187439,0.8873322010040283,0.858127236366272,0.9243647456169128,0.5340914726257324,0.377337783575058,0.9199004769325256,0.8131749033927917,0.9150111079216003,0.4982394576072693,0.3481292724609375,0.9316628575325012,0.7643311023712158,0.8963025212287903
69,0.9035784006118774,0.025522977113723755,0.015111287124454975,0.013931668363511562,0.41011884808540344,0.43803146481513977,0.9744769334793091,0.9504017233848572,0.9767969250679016,0.9788092374801636,0.9856435656547546,0.9848887920379639,0.9703518152236938,0.9832513332366943,0.9884821176528931,0.9908697009086609,0.9860684871673584,0.9726550579071045,0.9834722876548767,0.9895908832550049,0.9913012385368347,0.5898811221122742,0.4282293915748596,0.9815244078636169,0.9565705060958862,0.9795942306518555,0.5619685053825378,0.40782681107521057,0.9917930960655212,0.9444748163223267,0.9784690737724304,1.3922072649002075,0.15060913562774658,0.13705673813819885,0.13466252386569977,0.46699970960617065,0.5020164847373962,0.8493908643722534,0.7472589015960693,0.8838743567466736,0.848150372505188,0.9199898838996887,0.8629432916641235,0.7660115957260132,0.8811250925064087,0.8702026605606079,0.9270089268684387,0.8653374314308167,0.7696723341941833,0.8831766843795776,0.8700874447822571,0.9274787902832031,0.5330002903938293,0.37664794921875,0.9177027940750122,0.8184741735458374,0.9166482090950012,0.49798351526260376,0.3482317328453064,0.9304854869842529,0.7685920000076294,0.8980331420898438
