,loss,dice_coef,jacard,recall,precision,accuracy
0,0.49449482560157776,0.4508116543292999,0.29547831416130066,0.802525520324707,0.5960303544998169,0.8241474032402039
1,0.24705789983272552,0.65144282579422,0.4862343370914459,0.9133086204528809,0.9411619305610657,0.965894877910614
2,0.17033317685127258,0.7403998970985413,0.5900002717971802,0.936697781085968,0.9514331817626953,0.9736441969871521
3,0.14454145729541779,0.7743666172027588,0.6335656642913818,0.9463596343994141,0.9597263336181641,0.9778575897216797
4,0.13468092679977417,0.7864328622817993,0.6502739191055298,0.9523370265960693,0.9617336392402649,0.9797071218490601
5,0.12927208840847015,0.794387936592102,0.661226212978363,0.95462965965271,0.9644825458526611,0.9809002876281738
6,0.12518717348575592,0.8001440763473511,0.6687014102935791,0.9567018747329712,0.9678330421447754,0.9821881651878357
7,0.12295360118150711,0.802055835723877,0.6718252301216125,0.958012044429779,0.9692861437797546,0.9828405976295471
8,0.12021760642528534,0.805840253829956,0.676548957824707,0.9603285789489746,0.9703226089477539,0.9836236834526062
9,0.11744855344295502,0.8087579607963562,0.680573582649231,0.9625530242919922,0.9720596671104431,0.9845556020736694
