,loss,side_6_loss,side_7_loss,side_8_loss,activation_116_loss,add_35_loss,side_6_dice_coef,side_6_jaccard,side_6_recall,side_6_precision,side_6_accuracy,side_7_dice_coef,side_7_jaccard,side_7_recall,side_7_precision,side_7_accuracy,side_8_dice_coef,side_8_jaccard,side_8_recall,side_8_precision,side_8_accuracy,activation_116_dice_coef,activation_116_jaccard,activation_116_recall,activation_116_precision,activation_116_accuracy,add_35_dice_coef,add_35_jaccard,add_35_recall,add_35_precision,add_35_accuracy,val_loss,val_side_6_loss,val_side_7_loss,val_side_8_loss,val_activation_116_loss,val_add_35_loss,val_side_6_dice_coef,val_side_6_jaccard,val_side_6_recall,val_side_6_precision,val_side_6_accuracy,val_side_7_dice_coef,val_side_7_jaccard,val_side_7_recall,val_side_7_precision,val_side_7_accuracy,val_side_8_dice_coef,val_side_8_jaccard,val_side_8_recall,val_side_8_precision,val_side_8_accuracy,val_activation_116_dice_coef,val_activation_116_jaccard,val_activation_116_recall,val_activation_116_precision,val_activation_116_accuracy,val_add_35_dice_coef,val_add_35_jaccard,val_add_35_recall,val_add_35_precision,val_add_35_accuracy
89,0.634943962097168,0.03445449471473694,0.019063040614128113,0.014012936502695084,0.4212953746318817,0.1461181938648224,0.9655777215957642,0.9334678649902344,0.9679409861564636,0.9665878415107727,0.9827093482017517,0.9809429049491882,0.9626142382621765,0.9789248704910278,0.9855380654335022,0.9904527068138123,0.986015260219574,0.972430944442749,0.9849556088447571,0.9895331859588623,0.9930011034011841,0.5789557695388794,0.40886151790618896,0.9950625896453857,0.9466010332107544,0.9835126399993896,0.8540312051773071,0.7459765076637268,0.9865214824676514,0.9876917600631714,0.9928722381591797,0.7661485075950623,0.06365334987640381,0.05259435251355171,0.05109193176031113,0.4268757998943329,0.17193304002285004,0.9363465905189514,0.8813547492027283,0.9467682242393494,0.9363184571266174,0.9692320227622986,0.9474055767059326,0.9007532596588135,0.9622600674629211,0.9417355060577393,0.9743818640708923,0.9489080905914307,0.9032825827598572,0.9672287106513977,0.9384534955024719,0.9746170043945312,0.5731241703033447,0.40467211604118347,0.9781542420387268,0.8985069990158081,0.9651939868927002,0.8280670046806335,0.708723247051239,0.9682062268257141,0.939630925655365,0.9751676917076111
90,0.6347879767417908,0.034521669149398804,0.01896391622722149,0.01428819540888071,0.4209499657154083,0.1460641324520111,0.9654783606529236,0.9332818388938904,0.9682264924049377,0.9662740230560303,0.9826746582984924,0.981036365032196,0.9627946615219116,0.9789028763771057,0.985795259475708,0.9905002117156982,0.9857118725776672,0.9718412756919861,0.9844004511833191,0.9895282983779907,0.992844820022583,0.5790499448776245,0.40895751118659973,0.9946689009666443,0.9472053647041321,0.9835702776908875,0.853935956954956,0.745827317237854,0.9859188199043274,0.9876455068588257,0.9927076697349548,0.7661056518554688,0.06381694972515106,0.05071892961859703,0.05052625760436058,0.4278501272201538,0.1731933057308197,0.9361830353736877,0.8814433813095093,0.9254274368286133,0.9600362777709961,0.970523476600647,0.9492810964584351,0.9046100974082947,0.9470598697662354,0.9618542790412903,0.9762483239173889,0.9494737982749939,0.9047233462333679,0.9588630199432373,0.9490020871162415,0.9755665063858032,0.5721498727798462,0.40384846925735474,0.9717733860015869,0.9055978655815125,0.9659340381622314,0.8268067836761475,0.7072963714599609,0.9593518376350403,0.951576292514801,0.9763814806938171
91,0.634212076663971,0.03455457091331482,0.01873602718114853,0.013948473148047924,0.420988529920578,0.1459844410419464,0.9654708504676819,0.9332708120346069,0.9684513807296753,0.965936005115509,0.9826384782791138,0.9812960028648376,0.9632974863052368,0.979451060295105,0.9857240915298462,0.9906256794929504,0.9860870838165283,0.9725723266601562,0.9842737913131714,0.9902255535125732,0.9930160641670227,0.5792584419250488,0.4091658890247345,0.9945775866508484,0.9485408663749695,0.983938455581665,0.8541669845581055,0.7461872100830078,0.985971212387085,0.9883081912994385,0.992897093296051,0.769408643245697,0.06376053392887115,0.05008590221405029,0.05390802398324013,0.4276909828186035,0.1739632487297058,0.93623948097229,0.881523072719574,0.9269612431526184,0.9576303362846375,0.9702737927436829,0.9499140381813049,0.9054574370384216,0.9551500678062439,0.9539188146591187,0.9760547876358032,0.9460920095443726,0.8983017206192017,0.9681333303451538,0.9323352575302124,0.9730342626571655,0.5723090171813965,0.40388011932373047,0.9778896570205688,0.8875120878219604,0.9616484045982361,0.826036810874939,0.705919086933136,0.9679659008979797,0.9364160299301147,0.9741793274879456
92,0.6324475407600403,0.03444299101829529,0.018471090123057365,0.013665829785168171,0.4203108847141266,0.1455567628145218,0.9655859470367432,0.9334827065467834,0.9677734375,0.966661274433136,0.9826377630233765,0.9815477132797241,0.9637832641601562,0.9796307682991028,0.9861949682235718,0.9907698631286621,0.986368715763092,0.9731250405311584,0.9848626255989075,0.9903222918510437,0.9931607246398926,0.5799301862716675,0.409841924905777,0.9948586821556091,0.9491855502128601,0.9841547012329102,0.854590654373169,0.746839702129364,0.9863331317901611,0.9885972142219543,0.9930503964424133,0.7677173614501953,0.06579414010047913,0.051082029938697815,0.051341429352760315,0.42708876729011536,0.1724109649658203,0.9342058300971985,0.8774240016937256,0.9545722007751465,0.9246739745140076,0.9677540063858032,0.9489179849624634,0.9034103155136108,0.9610854387283325,0.9446175694465637,0.974921464920044,0.9486585259437561,0.9028312563896179,0.9680712223052979,0.9361804127693176,0.9741661548614502,0.5729112029075623,0.40442749857902527,0.9784675240516663,0.8943777680397034,0.9639649987220764,0.8275890350341797,0.7078976035118103,0.9692782759666443,0.9356715679168701,0.974300742149353
93,0.6290127038955688,0.033915575593709946,0.018147826194763184,0.01340772770345211,0.4189720153808594,0.14456969499588013,0.9660970568656921,0.9344387054443359,0.9686099290847778,0.9667956233024597,0.9828065037727356,0.9818738698959351,0.9644108414649963,0.9803594350814819,0.9860943555831909,0.9908908605575562,0.9866297245025635,0.9736303091049194,0.9855569005012512,0.9900771379470825,0.9932419061660767,0.5812571048736572,0.4110957384109497,0.9948561191558838,0.9491643309593201,0.9840822815895081,0.8555663824081421,0.7482927441596985,0.9868457317352295,0.988179624080658,0.9930372834205627,0.7616310715675354,0.06432414799928665,0.050008758902549744,0.047811735421419144,0.4279124140739441,0.17157404124736786,0.9356757998466492,0.8801581859588623,0.9491931200027466,0.9326220750808716,0.9687576293945312,0.9499912261962891,0.9057548642158508,0.9444918632507324,0.9647068977355957,0.9763891100883484,0.9521883130073547,0.909716010093689,0.9542644023895264,0.9584441781044006,0.97705078125,0.5720875859260559,0.40375635027885437,0.968684196472168,0.9175190329551697,0.9688325524330139,0.828425943851471,0.7094975113868713,0.9569512009620667,0.9564604759216309,0.9771589636802673
94,0.6314749717712402,0.03397032991051674,0.01766964979469776,0.012859294191002846,0.4214226305484772,0.1455530822277069,0.966037929058075,0.9343267679214478,0.9690020680427551,0.9662875533103943,0.9829350709915161,0.9823394417762756,0.965310275554657,0.9810901880264282,0.98625248670578,0.9911906123161316,0.9871640801429749,0.9746715426445007,0.9864168763160706,0.9904725551605225,0.9936172366142273,0.5788359642028809,0.40870773792266846,0.9953314661979675,0.9488393068313599,0.9842504858970642,0.8545882701873779,0.7468119263648987,0.9876571297645569,0.9884809851646423,0.9933825731277466,0.7707376480102539,0.062333885580301285,0.05521918833255768,0.04956638440489769,0.4301702678203583,0.17344795167446136,0.937666118144989,0.8839479088783264,0.9354565143585205,0.9509642124176025,0.970547080039978,0.9447807669639587,0.8966564536094666,0.9192274808883667,0.9821210503578186,0.9746724963188171,0.9504336714744568,0.9068260788917542,0.9327048659324646,0.9784759879112244,0.9770591259002686,0.5698297023773193,0.40166428685188293,0.9543156623840332,0.9449610710144043,0.9733491539955139,0.8265519738197327,0.7071118950843811,0.936677098274231,0.9770575761795044,0.9776708483695984
95,0.6243115067481995,0.0334106869995594,0.017587916925549507,0.012927915900945663,0.4171796441078186,0.1432054340839386,0.9666126370429993,0.9353994131088257,0.9693116545677185,0.9669593572616577,0.9829571843147278,0.9824154376983643,0.9654529094696045,0.9805665016174316,0.9866629838943481,0.9910564422607422,0.9870874285697937,0.9745204448699951,0.985680341720581,0.9907562732696533,0.9934183955192566,0.5830296874046326,0.4126623272895813,0.9949503540992737,0.9517329335212708,0.9847769737243652,0.8569132089614868,0.7502117156982422,0.9871236085891724,0.989007830619812,0.9932919144630432,0.7579145431518555,0.062161341309547424,0.04985296353697777,0.04683266580104828,0.4280456304550171,0.17102192342281342,0.937838613986969,0.8841370940208435,0.9408355951309204,0.9454899430274963,0.9703611731529236,0.9501470327377319,0.9061005115509033,0.9388481378555298,0.9713656902313232,0.976769208908081,0.9531673789024353,0.9115821719169617,0.9499627351760864,0.965043306350708,0.9777950048446655,0.5719543695449829,0.40367716550827026,0.9665887355804443,0.9265180826187134,0.9709964990615845,0.8289781212806702,0.7104483842849731,0.9524443745613098,0.9643976092338562,0.9782146215438843
96,0.6286054849624634,0.03339848667383194,0.017644185572862625,0.013015813194215298,0.4198031425476074,0.14474384486675262,0.9666271209716797,0.9354308843612671,0.969078540802002,0.9672924876213074,0.9831172823905945,0.9823793768882751,0.9653839468955994,0.9802809953689575,0.9868992567062378,0.9911209344863892,0.9870253205299377,0.9743995666503906,0.9854025840759277,0.990900993347168,0.9934539794921875,0.5804382562637329,0.4103371798992157,0.9948981404304504,0.951483428478241,0.9848102927207947,0.8554040789604187,0.7480706572532654,0.9868946075439453,0.9891861081123352,0.9933424592018127,0.7594352960586548,0.06428886950016022,0.04914519935846329,0.047128986567258835,0.42782336473464966,0.1710488647222519,0.9357110857963562,0.8801583647727966,0.9527251720428467,0.9296008944511414,0.9687381982803345,0.9508548378944397,0.907214343547821,0.9478780627250671,0.96274334192276,0.9766977429389954,0.9528710842132568,0.9108432531356812,0.9552527070045471,0.9581531286239624,0.977230429649353,0.5721766352653503,0.40381374955177307,0.9704799056053162,0.9179121851921082,0.9693686962127686,0.8289510607719421,0.7101733684539795,0.9585174322128296,0.9561368823051453,0.977454423904419
97,0.6278582215309143,0.03318191319704056,0.01708078198134899,0.012360237538814545,0.4204885959625244,0.14474672079086304,0.9668413400650024,0.93583083152771,0.9693098664283752,0.9673506021499634,0.9832425117492676,0.982940137386322,0.966465175151825,0.9814253449440002,0.9870122671127319,0.9914675354957581,0.987678587436676,0.9756712317466736,0.9861710667610168,0.991477370262146,0.9938052892684937,0.5797610282897949,0.40966176986694336,0.9952890872955322,0.9516094923019409,0.9849801063537598,0.8554039001464844,0.7480642795562744,0.9876332879066467,0.989517867565155,0.9936328530311584,0.7654290795326233,0.06184707581996918,0.05152113363146782,0.0492471344769001,0.43009793758392334,0.17271581292152405,0.9381529092788696,0.8846359252929688,0.9444891214370728,0.9426131844520569,0.9704381823539734,0.9484788775444031,0.9032207727432251,0.9301125407218933,0.9772541522979736,0.9761304259300232,0.950752854347229,0.9073259830474854,0.9343520998954773,0.9772031903266907,0.9771270751953125,0.5699020624160767,0.4016912579536438,0.9560114741325378,0.9413344264030457,0.9727436304092407,0.8272842168807983,0.7080661654472351,0.9394692182540894,0.9751468300819397,0.9778608679771423
98,0.6243137121200562,0.03291694447398186,0.01685505174100399,0.012055129744112492,0.4187704920768738,0.14371605217456818,0.9670993685722351,0.936313807964325,0.9696245193481445,0.967513382434845,0.9832667112350464,0.9831445813179016,0.9668617844581604,0.981617271900177,0.9872099757194519,0.9915101528167725,0.9879662990570068,0.97623610496521,0.9867374300956726,0.991562008857727,0.9939303398132324,0.5814577341079712,0.41131964325904846,0.995414674282074,0.9522280693054199,0.9850970506668091,0.8564155697822571,0.7495986819267273,0.9880147576332092,0.9895957708358765,0.9937030076980591,0.8124666213989258,0.06177649274468422,0.06337177008390427,0.06538652628660202,0.43956458568573,0.1823672354221344,0.9382236003875732,0.8848772644996643,0.9364016652107239,0.9508600234985352,0.9707523584365845,0.9366282820701599,0.8823164105415344,0.8981540203094482,0.9894306659698486,0.9711900353431702,0.9346134662628174,0.8789163827896118,0.8916165232658386,0.9925570487976074,0.9702772498130798,0.56043541431427,0.3925476372241974,0.9173534512519836,0.975828230381012,0.9725570678710938,0.8176326751708984,0.6944038271903992,0.9001576900482178,0.9913843274116516,0.9721519947052002
