,loss,side_6_loss,side_7_loss,side_8_loss,side_9_loss,side_10_loss,side_6_dice_coef,side_6_jacard,side_6_recall_1,side_6_precision_1,side_6_accuracy,side_7_dice_coef,side_7_jacard,side_7_recall_1,side_7_precision_1,side_7_accuracy,side_8_dice_coef,side_8_jacard,side_8_recall_1,side_8_precision_1,side_8_accuracy,side_9_dice_coef,side_9_jacard,side_9_recall_1,side_9_precision_1,side_9_accuracy,side_10_dice_coef,side_10_jacard,side_10_recall_1,side_10_precision_1,side_10_accuracy
30,1.3514022827148438,0.12797315418720245,0.15066860616207123,0.16209359467029572,0.24539224803447723,0.6652746200561523,0.8716312646865845,0.776714563369751,0.9124104380607605,0.9345823526382446,0.9498158693313599,0.8367826342582703,0.7259852290153503,0.8950212597846985,0.9332152605056763,0.9439924955368042,0.8357009887695312,0.7249459028244019,0.8892760276794434,0.9290505051612854,0.9408096075057983,0.7463723421096802,0.612673819065094,0.8751659989356995,0.8879415988922119,0.9220408201217651,0.38481810688972473,0.24585966765880585,0.8451331853866577,0.7806904315948486,0.8700196743011475
31,1.3572838306427002,0.13912412524223328,0.15691497921943665,0.16167737543582916,0.23502898216247559,0.6645382642745972,0.8695138692855835,0.7750318646430969,0.9023348689079285,0.9307899475097656,0.9454076290130615,0.8415797352790833,0.7334386706352234,0.8847085237503052,0.9327779412269592,0.9406726956367493,0.8451308012008667,0.7384722232818604,0.8855996131896973,0.9343064427375793,0.9414613246917725,0.7580012083053589,0.627313494682312,0.873386561870575,0.8997095823287964,0.9257885217666626,0.3898136615753174,0.24900808930397034,0.8664512634277344,0.7874561548233032,0.8782586455345154
32,1.4111595153808594,0.148122638463974,0.1662910133600235,0.179261714220047,0.25659650564193726,0.6608877182006836,0.8667049407958984,0.7682890892028809,0.8928115963935852,0.9301605820655823,0.9422716498374939,0.8315455317497253,0.7176192998886108,0.8826496601104736,0.9303290843963623,0.9392143487930298,0.8337475061416626,0.721267819404602,0.8745600581169128,0.9317753911018372,0.9372180700302124,0.7409986853599548,0.6063037514686584,0.8624260425567627,0.8919101357460022,0.9197841882705688,0.38678687810897827,0.2480967938899994,0.8659762144088745,0.7785540819168091,0.8739773035049438
33,1.3177146911621094,0.13155487179756165,0.14624078571796417,0.152133971452713,0.22873163223266602,0.6590532064437866,0.8744430541992188,0.7822556495666504,0.9050250053405762,0.9369516372680664,0.9483514428138733,0.8470454216003418,0.7404717206954956,0.8935384154319763,0.9392518401145935,0.9455753564834595,0.849368691444397,0.7442688345909119,0.8972132802009583,0.9352837800979614,0.9453713893890381,0.7566653490066528,0.6249822378158569,0.8814811110496521,0.906470000743866,0.9305927157402039,0.3934035301208496,0.2525148391723633,0.8904472589492798,0.7859596014022827,0.883350133895874
34,1.3246732950210571,0.13186219334602356,0.14778588712215424,0.1575126051902771,0.23085446655750275,0.656657874584198,0.8771364092826843,0.7844331860542297,0.8994206190109253,0.9406788349151611,0.9478796720504761,0.8498145937919617,0.7427830100059509,0.8855478167533875,0.9415721297264099,0.9438687562942505,0.8516085743904114,0.7458534836769104,0.8833642601966858,0.9396349787712097,0.9425492882728577,0.7609490156173706,0.6303328275680542,0.8715943694114685,0.9106645584106445,0.929122269153595,0.39571234583854675,0.25435516238212585,0.8961706161499023,0.7874836921691895,0.8854612708091736
35,1.293995976448059,0.12346799671649933,0.1412653774023056,0.15023164451122284,0.22504237294197083,0.6539887189865112,0.8800979852676392,0.7893937230110168,0.9118843078613281,0.9422085285186768,0.9522705078125,0.8544982671737671,0.7507851123809814,0.8995461463928223,0.9404224157333374,0.9478322267532349,0.8560415506362915,0.7531145215034485,0.8966506719589233,0.9392622113227844,0.9465433955192566,0.7653350830078125,0.6354023218154907,0.8809849619865417,0.9079181551933289,0.9309589266777039,0.39766761660575867,0.2562158405780792,0.9116352796554565,0.7895099520683289,0.8901870846748352
36,1.2721681594848633,0.12417342513799667,0.13722839951515198,0.14664128422737122,0.21060609817504883,0.6535192131996155,0.883902907371521,0.7946777939796448,0.9086477160453796,0.9433973431587219,0.951666533946991,0.8629021644592285,0.7620937824249268,0.8982459306716919,0.9430178999900818,0.948299765586853,0.8654759526252747,0.7666112184524536,0.8935794830322266,0.9403237104415894,0.9459474086761475,0.7834473252296448,0.6575305461883545,0.8830909729003906,0.920964241027832,0.936151385307312,0.40390515327453613,0.25988873839378357,0.9145656228065491,0.7842691540718079,0.8883342742919922
37,1.3221123218536377,0.13042642176151276,0.1461939662694931,0.1595153957605362,0.23708359897136688,0.6488928198814392,0.8786178827285767,0.7864502668380737,0.9032328724861145,0.9430096745491028,0.949849545955658,0.8532747030258179,0.7483352422714233,0.8954287767410278,0.9401637315750122,0.9464675784111023,0.8559582829475403,0.7525532245635986,0.886252760887146,0.9420656561851501,0.9442512392997742,0.7585915327072144,0.626810610294342,0.8674927949905396,0.9156493544578552,0.9296149015426636,0.39986878633499146,0.2588896155357361,0.9188134670257568,0.7859259843826294,0.8901729583740234
38,1.3112819194793701,0.13078688085079193,0.1471497118473053,0.1560770571231842,0.23053064942359924,0.6467376947402954,0.8747220039367676,0.7816078662872314,0.9057223200798035,0.9422481060028076,0.9503673315048218,0.8481900095939636,0.7421408295631409,0.8932433128356934,0.9410549402236938,0.946087658405304,0.8523796200752258,0.7485655546188354,0.8877824544906616,0.9406492114067078,0.9442567229270935,0.7570489645004272,0.6282787322998047,0.873088002204895,0.9080395698547363,0.9286502599716187,0.4021282196044922,0.2610408365726471,0.9239799380302429,0.777390718460083,0.8871415257453918
39,1.3084394931793213,0.13059408962726593,0.14731797575950623,0.16157087683677673,0.22348785400390625,0.6454685926437378,0.8812885284423828,0.7911418080329895,0.9050672650337219,0.942542314529419,0.9502629637718201,0.856519341468811,0.7539049386978149,0.8944199085235596,0.9423264861106873,0.9468780755996704,0.8600832223892212,0.7599519491195679,0.8905447125434875,0.9381603002548218,0.9442819952964783,0.7723544836044312,0.6461496353149414,0.8783378005027771,0.9184161424636841,0.9338348507881165,0.40793976187705994,0.2645396292209625,0.9271655082702637,0.7762460112571716,0.8873120546340942
