,loss,side_6_loss,side_7_loss,side_8_loss,activation_153_loss,add_47_loss,side_6_dice_coef,side_6_jacard,side_6_recall_1,side_6_precision_1,side_6_accuracy,side_7_dice_coef,side_7_jacard,side_7_recall_1,side_7_precision_1,side_7_accuracy,side_8_dice_coef,side_8_jacard,side_8_recall_1,side_8_precision_1,side_8_accuracy,activation_153_dice_coef,activation_153_jacard,activation_153_recall_1,activation_153_precision_1,activation_153_accuracy,add_47_dice_coef,add_47_jacard,add_47_recall_1,add_47_precision_1,add_47_accuracy
124,0.028282904997467995,0.0035524214617908,0.0020075521897524595,0.001764054293744266,0.01620444841682911,0.0047544571571052074,0.4825358986854553,0.4227328300476074,0.919224739074707,0.9217135310173035,0.9984270334243774,0.5233729481697083,0.4828915596008301,0.9558973908424377,0.9574607610702515,0.9991422295570374,0.5303208231925964,0.49403467774391174,0.9607365727424622,0.9632875323295593,0.9992491006851196,0.4609362483024597,0.4156314730644226,0.9605899453163147,0.9623973965644836,0.9992381930351257,0.47936075925827026,0.4280587434768677,0.9599390625953674,0.9633956551551819,0.9992425441741943
125,0.02893935516476631,0.0036575961858034134,0.0021257917396724224,0.0019121123477816582,0.016367107629776,0.004876755643635988,0.47135552763938904,0.41217824816703796,0.9162852168083191,0.9204595685005188,0.9983880519866943,0.5110417604446411,0.47011905908584595,0.9533806443214417,0.955301821231842,0.9990969896316528,0.5171504020690918,0.47982120513916016,0.9578956365585327,0.9604447484016418,0.9991922974586487,0.45223161578178406,0.4078682065010071,0.9571505784988403,0.9595891237258911,0.9991762042045593,0.4688253700733185,0.41891002655029297,0.9567807912826538,0.9608054161071777,0.9991858601570129
126,0.02775014005601406,0.003466540714725852,0.0019018386956304312,0.0016516296891495585,0.016076959669589996,0.004653179552406073,0.4840821325778961,0.4253823757171631,0.9210596680641174,0.9229397177696228,0.9984580278396606,0.5235899686813354,0.4848886728286743,0.9585288763046265,0.9592063426971436,0.9991853833198547,0.5305646061897278,0.49619418382644653,0.9637075066566467,0.965060830116272,0.999295711517334,0.46034538745880127,0.4155789911746979,0.9635941982269287,0.9645768404006958,0.9992885589599609,0.4800639748573303,0.4295123517513275,0.9627225995063782,0.9650296568870544,0.9992855191230774
127,0.027771860361099243,0.0034659849479794502,0.0019045231165364385,0.001657033571973443,0.01609022356569767,0.004654097370803356,0.49111711978912354,0.4314561188220978,0.9210906028747559,0.9229983687400818,0.9984593987464905,0.5333248972892761,0.49362269043922424,0.9583361148834229,0.9591683745384216,0.9991828799247742,0.5403611063957214,0.5049880146980286,0.963378369808197,0.9648833870887756,0.9992899298667908,0.4660657048225403,0.4214754104614258,0.9633474946022034,0.9643251299858093,0.9992846846580505,0.4863527715206146,0.43510013818740845,0.9625872373580933,0.9650357961654663,0.9992842674255371
128,0.028200486674904823,0.0035372283309698105,0.0019859815947711468,0.0017491127364337444,0.01619049347937107,0.004737661220133305,0.4865467846393585,0.4263738691806793,0.919314980506897,0.9219781160354614,0.9984316229820251,0.5286045074462891,0.4877496659755707,0.9566140174865723,0.9576939344406128,0.9991524815559387,0.5355081558227539,0.4986362159252167,0.9615493416786194,0.9630945324897766,0.9992549419403076,0.4627164602279663,0.41689372062683105,0.9612736701965332,0.9621968269348145,0.9992426633834839,0.483102023601532,0.43138620257377625,0.9606124758720398,0.9631455540657043,0.9992464780807495
129,0.02788744866847992,0.0034868353977799416,0.0019294796511530876,0.001682428177446127,0.016111310571432114,0.0046774097718298435,0.4833899736404419,0.42516523599624634,0.9201650023460388,0.9227747917175293,0.998447060585022,0.5234415531158447,0.48500680923461914,0.9578235745429993,0.9588116407394409,0.9991756081581116,0.5300580263137817,0.4957283139228821,0.9628722071647644,0.9643872976303101,0.9992800354957581,0.4570263922214508,0.4133463501930237,0.962598979473114,0.9638593792915344,0.999272882938385,0.47777828574180603,0.4278986155986786,0.9618730545043945,0.9645119309425354,0.9992714524269104
130,0.028182517737150192,0.0035370809491723776,0.0019816469866782427,0.0017438952345401049,0.01618644967675209,0.004733450710773468,0.4844035804271698,0.42503422498703003,0.9198417663574219,0.9213986992835999,0.9984299540519714,0.524980902671814,0.48533427715301514,0.956670880317688,0.9576380252838135,0.9991527199745178,0.5312422513961792,0.49552083015441895,0.9614536762237549,0.9631946086883545,0.999255359172821,0.46186351776123047,0.41783595085144043,0.9611206650733948,0.9624273180961609,0.9992435574531555,0.4800748825073242,0.4298665225505829,0.9606630206108093,0.9634079933166504,0.9992492198944092
131,0.028259648010134697,0.003544639563187957,0.001980504486709833,0.0017363212537020445,0.01626984402537346,0.004728331696242094,0.4894382655620575,0.4296143651008606,0.9185920357704163,0.9227800965309143,0.9984329342842102,0.5302214622497559,0.49031054973602295,0.9569852948188782,0.9585999250411987,0.9991650581359863,0.5372203588485718,0.5014603137969971,0.962010383605957,0.9643394351005554,0.9992717504501343,0.46633180975914,0.4209112823009491,0.961780846118927,0.9637241363525391,0.9992634057998657,0.48604923486709595,0.434574156999588,0.9610034227371216,0.9644970893859863,0.9992639422416687
132,0.027548909187316895,0.0034278444945812225,0.0018600360490381718,0.0016122158849611878,0.016032781451940536,0.004616009537130594,0.4978972375392914,0.4380801320075989,0.9218778014183044,0.9237123131752014,0.9984733462333679,0.5392194390296936,0.49997052550315857,0.9593641757965088,0.9600352048873901,0.9992018342018127,0.5463586449623108,0.5116767883300781,0.9646639823913574,0.9657771587371826,0.9993113279342651,,,0.9644457101821899,0.9654415249824524,0.9993062615394592,0.4899021089076996,0.439316987991333,0.9636015295982361,0.9659112095832825,0.9993032217025757
133,0.027616143226623535,0.0034413861576467752,0.0018663046648725867,0.0016271156491711736,0.01605662703514099,0.004624690394848585,0.4880884885787964,0.42919477820396423,0.9213014841079712,0.9234834313392639,0.9984654188156128,0.5302332043647766,0.4915732741355896,0.9590914845466614,0.9600893259048462,0.9992004632949829,0.5367724895477295,0.5021987557411194,0.96419358253479,0.96552574634552,0.9993046522140503,0.46361517906188965,0.41954484581947327,0.9638870358467102,0.9648903608322144,0.9992954730987549,0.48432421684265137,0.4343046247959137,0.9631664752960205,0.9655638337135315,0.9992952346801758
