,loss,dice_coef,jacard,recall,precision,accuracy
0,0.241249218583107,0.618919849395752,0.47398698329925537,0.6809375286102295,0.8370575308799744,0.03825032711029053
1,0.1792289912700653,0.7090232968330383,0.5710513591766357,0.7686501145362854,0.881004810333252,0.023631185293197632
2,0.15136472880840302,0.7480555772781372,0.6180095076560974,0.804112434387207,0.898526668548584,0.024559732526540756
3,0.152434840798378,0.7458567023277283,0.6151432991027832,0.8052501678466797,0.8974186778068542,0.013322753831744194
4,0.13078688085079193,0.7801604270935059,0.6585652232170105,0.8333295583724976,0.9087028503417969,0.014210611581802368
5,0.13190767168998718,0.7775334119796753,0.6558809876441956,0.8313047885894775,0.9078425765037537,0.013806152157485485
6,0.12425804883241653,0.7907356023788452,0.6721439361572266,0.842965841293335,0.9097062349319458,0.011356608010828495
7,0.12102781981229782,0.7956179976463318,0.6790943741798401,0.8448274731636047,0.9171944260597229,0.009554036892950535
8,0.11505211144685745,0.8027867078781128,0.6888573169708252,0.8542847037315369,0.9162732362747192,0.011761067435145378
9,0.10748068988323212,0.8197523355484009,0.7092279195785522,0.8603189587593079,0.9172734022140503,0.017307128757238388
10,0.10089146345853806,0.8257073163986206,0.7178748250007629,0.8674818873405457,0.9237284064292908,0.015021972358226776
11,0.10366665571928024,0.8230592608451843,0.7150346636772156,0.8715293407440186,0.9203870892524719,0.014334309846162796
12,0.09838069975376129,0.8346382975578308,0.7296442985534668,0.8736297488212585,0.9252263903617859,0.015419107861816883
13,0.09384801983833313,0.8361900448799133,0.7325009107589722,0.8794488906860352,0.9258081912994385,0.010158691555261612
14,0.09382233023643494,0.835925817489624,0.731791615486145,0.8798112273216248,0.9261066913604736,0.014406737871468067
15,0.08863411098718643,0.8452227711677551,0.7442163228988647,0.8886822462081909,0.9272688031196594,0.020843911916017532
16,0.08772125095129013,0.8489601612091064,0.7498080730438232,0.8906445503234863,0.9290244579315186,0.021029459312558174
17,0.08209266513586044,0.8539404273033142,0.7575736045837402,0.8963069915771484,0.9301263689994812,0.01565348356962204
18,0.0750955119729042,0.8681674003601074,0.7762097120285034,0.9049726128578186,0.9355840682983398,0.027760416269302368
19,0.06919924169778824,0.8771231174468994,0.788665235042572,0.9125297665596008,0.9395910501480103,0.03955647721886635
20,0.07054370641708374,0.8702142834663391,0.7794952392578125,0.9101354479789734,0.9379940629005432,0.04195312410593033
